NOMBRE;AFORO;CERCANIAS;AUTOBUSES;METRO;ACCESIBILIDAD;CONTENT-URL;VIA;LOCALIDAD;CODIGO-POSTAL;BARRIO;DISTRITO;LATITUD;LONGITUD;TELEFONO;EMAIL;TIPO
Centro Cultural Hortaleza;122;Informacion no disponible;Informacion no disponible;4;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=86381e79ee71c010VgnVCM1000000b205a0aRCRD;Calle Santa Virgilia;Madrid;28033;Pinar Del Rey;Hortaleza;40.47682410775741;-3.6420497457238;913 821 493;cchortaleza@madrid.es; Centros Culturales
Centro Cultural Huerta de la Salud (Hortaleza);114;Informacion no disponible;Informacion no disponible;4;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc581e79ee71c010VgnVCM1000000b205a0aRCRD;Calle Mar De Las Antillas;Madrid;28033;Pinar Del Rey;Hortaleza;40.47484735634347;-3.645543866498554;913 825 309;cultuhortaleza@madrid.es; Centros Culturales
Centro Cultural José Luis López Vázquez (San Blas - Canillejas);194;Informacion no disponible;Informacion no disponible;Informacion no disponible;2;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b790e37de110f210VgnVCM1000000b205a0aRCRD;Calle Febrero;Madrid;28022;Rejas;San Blas-canillejas;40.446826729909155;-3.5727382893523254;913 293 900;ccjllopezvazquez@madrid.es; Centros Culturales
Centro Cultural José Luis Sampedro (Latina);Informacion no disponible;RENFE: Línea C5. Estación: Laguna.;: Línea 55.  Cercanías RENFE: Línea C5. Estación: Laguna.;Informacion no disponible;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd3fba61e681c010VgnVCM1000000b205a0aRCRD;Calle Castroserna;Madrid;28047;Lucero;Latina;40.40159394334669;-3.749110841406562;915 267 820 / 915 267 821;cclucero@madrid.es; Centros Culturales
Centro Cultural Juan Genovés (Moncloa - Aravaca);300;Informacion no disponible;Informacion no disponible;Informacion no disponible;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=13153d0b5e71c010VgnVCM1000000b205a0aRCRD;"Travesia Ca&amp;ntilde;o";Madrid;28023;Aravaca;Moncloa-aravaca;40.45867841791346;-3.7863499043313373;917 401 596;ccjgenoves@madrid.es; Centros Culturales
Centro Cultural Juan Gris (Moncloa - Aravaca);Informacion no disponible;Informacion no disponible;Informacion no disponible;7;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=79a81e79ee71c010VgnVCM1000000b205a0aRCRD;Calle Francos Rodriguez;Madrid;28039;Valdezarza;Moncloa-aravaca;40.45786266126019;-3.712247606973967;914 507 865;ccjuangris@madrid.es; Centros Culturales
Centro Cultural La Vaguada (Fuencarral - El Pardo);Informacion no disponible;Informacion no disponible;49 , 83 , 128 , 132 , 137;9;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=09691e79ee71c010VgnVCM1000000b205a0aRCRD;Avenida Monforte De Lemos;Madrid;28029;El Pilar;Fuencarral-el Pardo;40.47900813206291;-3.709138377702435;915 886 883;cclavaguada@madrid.es; Centros Culturales
Centro Cultural Las Californias (Retiro);80;Informacion no disponible;Informacion no disponible;1;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a6c875993dc63110VgnVCM1000000b205a0aRCRD;Calle Luis Peidro;Madrid;28007;Adelfas;Retiro;40.397021560779024;-3.6738766514153163;915 016 942;cclascalifornias@madrid.es; Centros Culturales
Centro Cultural Lavapiés (Centro);80;Informacion no disponible;Informacion no disponible;3;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5f891e79ee71c010VgnVCM1000000b205a0aRCRD;Calle Olivar;Madrid;28012;Embajadores;Centro;40.40967898937472;-3.7015569791252063;915 060 712;cclavapies@madrid.es; Centros Culturales
Centro Cultural Lope de Vega (Puente de Vallecas);41;Informacion no disponible;Informacion no disponible;2;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4a273d0b5e71c010VgnVCM1000000b205a0aRCRD;Calle Concejo De Teverga;Madrid;28053;Entrevias;Puente De Vallecas;40.386296991431074;-3.671858416387963;917 570 580;cclopedevega@madrid.es; Centros Culturales
Centro Cultural Los Rosales (Villaverde);193;Informacion no disponible;Informacion no disponible;3 y 4;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a5b91e79ee71c010VgnVCM1000000b205a0aRCRD;Avenida Los Rosales;Madrid;28021;Butarque;Villaverde;40.3507522003116;-3.677296127414198;917 109 273;cclosrosales@madrid.es; Centros Culturales
Centro Cultural Mercado de Ibiza (Retiro);Informacion no disponible;Informacion no disponible;Informacion no disponible;9;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dbeab973f50e7310VgnVCM1000000b205a0aRCRD;Calle Ibiza;Madrid;28009;Ibiza;Retiro;40.41817872037522;-3.677376337125393;915 572 601;ccibiza@madrid.es; Centros Culturales
Centro Cultural Meseta de Orcasitas (Usera);280;Informacion no disponible;Informacion no disponible;Informacion no disponible;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fbd91e79ee71c010VgnVCM1000000b205a0aRCRD;Plaza Asociacion;Madrid;28041;Orcasitas;Usera;40.36969488211539;-3.7081179166391824;913 415 677;ccmesetaorcasitas@madrid.es; Centros Culturales
Centro Cultural Miguel Hernández (Latina);154;RENFE: Línea C 5. Estación: Las Águilas.;Informacion no disponible;Informacion no disponible;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=420a1e79ee71c010VgnVCM1000000b205a0aRCRD;Calle Serradilla;Madrid;28044;Las Aguilas;Latina;40.378853797128336;-3.7819616113032115;917 066 300 / 917 108 523;ccmiguelh@madrid.es; Centros Culturales
Centro Cultural Moncloa (Moncloa - Aravaca) - CERRADO;Informacion no disponible;Informacion no disponible;Informacion no disponible;3, 6;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=982a1e79ee71c010VgnVCM1000000b205a0aRCRD;Plaza Moncloa;Madrid;28008;Arguelles;Moncloa-aravaca;40.435209440386444;-3.718872513851534;Informacion no disponible;Informacion no disponible; Centros Culturales
Centro Cultural Nicolás Salmerón (Chamartín);234;Informacion no disponible;Informacion no disponible;9;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee4a1e79ee71c010VgnVCM1000000b205a0aRCRD;Calle Mantuano;Madrid;28002;Ciudad Jardin;Chamartin;40.44834125150792;-3.6761992414203526;915 103 751;ccnsalmeron@madrid.es; Centros Culturales
Centro Cultural Orcasur (Usera);255;Informacion no disponible;Informacion no disponible;Informacion no disponible;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b9a1e79ee71c010VgnVCM1000000b205a0aRCRD;Plaza Pueblo;Madrid;28041;Orcasur;Usera;40.366772166148415;-3.70113521931168;913 188 090;ccorcasur@madrid.es; Centros Culturales
Centro Cultural Príncipe de Asturias (Ciudad Lineal);246;Informacion no disponible;Informacion no disponible;5;1,5,6;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d1ca1e79ee71c010VgnVCM1000000b205a0aRCRD;Calle Hermanos Garcia Noblejas;Madrid;28037;Pueblo Nuevo;Ciudad Lineal;40.43644651057092;-3.6372924261150033;917 767 810;ccprincipeasturias@madrid.es; Centros Culturales
Centro Cultural Puerta de Toledo (Centro);100;Informacion no disponible;Informacion no disponible;5;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=28ea1e79ee71c010VgnVCM1000000b205a0aRCRD;Avenida Gran Via De San Francisco;Madrid;28005;Palacio;Centro;40.40741060830642;-3.7119168856897677;913 662 728;ccptoledo@madrid.es; Centros Culturales
Centro Cultural Quinta del Berro - Rafael Altamira (Salamanca);65;Informacion no disponible;Informacion no disponible;Informacion no disponible;1,5;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bcc7cbf06c81c010VgnVCM1000000b205a0aRCRD;Calle Enrique D'almonte;Madrid;28028;Fuente Del Berro;Salamanca;40.42206923419431;-3.6629608041639368;915 570 808;quintaberro@madrid.es; Centros Culturales
Centro Cultural San Francisco La Prensa (Carabanchel);216;Informacion no disponible;Informacion no disponible;11;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5787e842ec9a6110VgnVCM1000000b205a0aRCRD;Calle Aliseda;Madrid;28025;Puerta Bonita;Carabanchel;40.37691447788016;-3.7416256113806847;914 284 911;ccprensa@madrid.es; Centros Culturales
Centro Cultural San Juan Bautista (Ciudad Lineal);277;Informacion no disponible;Informacion no disponible;4;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=618b1e79ee71c010VgnVCM1000000b205a0aRCRD;Calle San Nemesio;Madrid;28043;San Juan Bautista;Ciudad Lineal;40.45224710166;-3.658029027767765;914 157 705;ccsanjuanbautista@madrid.es; Salas Estudio Lectura
Centro Cultural Sanchinarro (Hortaleza);404;Informacion no disponible;Informacion no disponible;Informacion no disponible;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=12eb70618510f210VgnVCM1000000b205a0aRCRD;Calle Princesa De Eboli;Madrid;28050;Valdefuentes;Hortaleza;40.49042200599307;-3.6553467891079854;915 000 603;info@centroculturalsanchinarro.com; Centros Culturales
Centro Cultural Sara Montiel (Latina);170;Informacion no disponible;EMT : Línea 65 y línea H.;H.;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c957cbf06c81c010VgnVCM1000000b205a0aRCRD;Carretera Boadilla Del Monte;Madrid;28024;Campamento;Latina;40.399764677637116;-3.775144917950534;915 120 890;ccsaramontiel@madrid.es; Centros Culturales
Centro Cultural Usera 1;Informacion no disponible;Informacion no disponible;Informacion no disponible;6;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=54fb1e79ee71c010VgnVCM1000000b205a0aRCRD;Avenida Rafaela Ybarra;Madrid;28026;Pradolongo;Usera;40.381114597104194;-3.711149675992656;915 887 214;ccusera@madrid.es; Centros Culturales
Centro Cultural Usera 2;Informacion no disponible;Informacion no disponible;Informacion no disponible;6;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3cadb2cffdc15410VgnVCM1000000b205a0aRCRD;Calle Felipe Castro;Madrid;28026;Pradolongo;Usera;40.38430441585109;-3.709071424745629;914 764 204;ccusera@madrid.es; Centros Culturales
Centro Cultural Valdebernardo (Vicálvaro);280;Informacion no disponible;Informacion no disponible;9;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=69188899fc81c010VgnVCM1000000b205a0aRCRD;Bulevar Indalecio Prieto;Madrid;28032;Valdebernardo;Vicalvaro;40.399832138328044;-3.6212720265227873;913 016 460 / 913 016 462;ccvaldebernardo@madrid.es; Centros Culturales
Centro Cultural Zazuar (Villa de Vallecas);164;Informacion no disponible;Informacion no disponible;Informacion no disponible;1,6;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d8c1e79ee71c010VgnVCM1000000b205a0aRCRD;Calle Zazuar;Madrid;28031;Santa Eugenia;Villa De Vallecas;40.38281866921273;-3.6061377076487906;913 322 529;cczazuar@madrid.es; Centros Culturales
Centro Cultural el Madroño (Vicálvaro);250;Informacion no disponible;Informacion no disponible;9;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=57b63d0b5e71c010VgnVCM1000000b205a0aRCRD;Calle Villardondiego;Madrid;28032;Casco H.Vicalvaro;Vicalvaro;40.40529229274289;-3.6086152959929514;917 753 140;ccelmadrono@madrid.es; Centros Culturales
Centro Cultural el Torito (Moratalaz);200;Informacion no disponible;Informacion no disponible;9;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f3073d0b5e71c010VgnVCM1000000b205a0aRCRD;Avenida Moratalaz;Madrid;28030;Vinateros;Moratalaz;40.40610655994401;-3.646521482592748;913 287 385;cceltorito@madrid.es; Centros Culturales
Centro Cultural la Elipa (Ciudad Lineal);250;Informacion no disponible;Informacion no disponible;2;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c191e79ee71c010VgnVCM1000000b205a0aRCRD;Calle Santa Felicidad;Madrid;28017;Ventas;Ciudad Lineal;40.42446957496409;-3.6504201407465917;914 055 312;ccelipa@madrid.es; Centros Culturales
Centro Danza Matadero - CDM;449;: Embajadores (línea C5);Informacion no disponible;3 y 6;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2b09c47ca9572910VgnVCM1000001d4a900aRCRD;Paseo Chopera;Madrid;28045;Chopera;Arganzuela;40.39245798191536;-3.6972067902718897;Informacion no disponible;Informacion no disponible; Teatros
Centro Dotacional Integrado Arganzuela Ángel del Río;151;Renfe: Delicias (líneas C1, C7, C10, Regional);Informacion no disponible;1, 7, 10,;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f9ea79262ef5d010VgnVCM1000000b205a0aRCRD;Calle Canarias;Madrid;28045;Palos De La Frontera;Arganzuela;40.40242416544921;-3.6954440062549017;915 063 610;cdiarganzuela@madrid.es; Centros Culturales
Centro Integrado Santiago Apóstol (Hortaleza);Informacion no disponible;Informacion no disponible;7, 29, 129.;4;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=38f415a11a81c010VgnVCM1000000b205a0aRCRD;Calle Carrion De Los Condes;Madrid;28033;Apostol Santiago;Hortaleza;40.4760846979538;-3.6581195337045274;913 835 941;Informacion no disponible; Centros Culturales
