		ï»¿CURSO;UNIVERSIDAD;PETICION;GRADO;CENTRO;ÁREA;GENERAL;TITULADOS;"MAYORES 25";"MAYORES 40";"MAYORES 45"
2024;CÁDIZ;226700;BIOTECNOLOGÍA;"FACULTAD DE CIENCIAS";C;"11,549 PREF";7,960;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;227003;"CIENCIAS AMBIENTALES";"FACULTAD DE CIENCIAS DEL MAR Y AMBIENTALES";C;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;227100;"CIENCIAS AMBIENTALES + CIENCIAS DEL MAR";"FACULTAD DE CIENCIAS DEL MAR Y AMBIENTALES";C;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;227501;"CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE";"FACULTAD DE CIENCIAS DE LA EDUCACIÓN";SYJ;"11,326 PREF";8,185;"5,000 ONPNA";5,000;8,000
2024;CÁDIZ;228007;"CIENCIAS DEL MAR";"FACULTAD DE CIENCIAS DEL MAR Y AMBIENTALES";C;"6,059 PREF";6,378;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;228104;"CIENCIAS DEL MAR + CIENCIAS AMBIENTALES";"FACULTAD DE CIENCIAS DEL MAR Y AMBIENTALES";C;"6,359 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;292801;"CRIMINOLOGÍA Y SEGURIDAD";"FACULTAD DE DERECHO";SYJ;"10,012 PREF";6,780;"7,230 OPA";5,000;5,000
2024;CÁDIZ;229507;DERECHO;"FACULTAD DE DERECHO";SYJ;"8,759 PREF";7,350;"5,000 ONPNA";19,958;5,000
2024;CÁDIZ;229511;DERECHO;"FACULTAD DE DERECHO (SEDE ALGECIRAS)";SYJ;"7,611 PREF";5,000;"5,980 OPNA";5,000;5,000
2024;CÁDIZ;292909;"DERECHO + CRIMINOLOGÍA Y SEGURIDAD";"FACULTAD DE DERECHO";SYJ;"10,762 PREF";5,000;"5,500 ONPA";5,000;5,000
2024;CÁDIZ;229906;"DERECHO + RELACIONES LABORALES Y RECURSOS HUMANOS";"FACULTAD DE DERECHO (SEDE ALGECIRAS)";SYJ;5,000;5,000;"7,940 ONPA";5,000;5,000
2024;CÁDIZ;245503;"EDUCACIÓN INFANTIL";"FACULTAD DE CIENCIAS DE LA EDUCACIÓN";SYJ;"8,750 PREF";6,680;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;245518;"EDUCACIÓN INFANTIL";"CENTRO MAGISTERIO  VIRGEN DE EUROPA  (ADSCRITO) (LA LÍNEA)";SYJ;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;246507;"EDUCACIÓN PRIMARIA";"FACULTAD DE CIENCIAS DE LA EDUCACIÓN";SYJ;"9,800 PREF";7,865;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;246511;"EDUCACIÓN PRIMARIA";"CENTRO MAGISTERIO  VIRGEN DE EUROPA  (ADSCRITO) (LA LÍNEA)";SYJ;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;202549;ENFERMERÍA;"CENTRO UNIVERSITARIO DE ENFERMERÍA  SALUS INFIRMORUM  (ADS)";SD;"11,500 PREF";8,118;"6,110 OPA";8,083;5,000
2024;CÁDIZ;202515;ENFERMERÍA;"FACULTAD DE ENFERMERÍA  (ALGECIRAS)";SD;"11,930 PREF";8,910;"6,760 OPA";20,917;5,750
2024;CÁDIZ;202500;ENFERMERÍA;"FACULTAD DE ENFERMERÍA Y FISIOTERAPIA";SD;"12,376 PREF";8,240;"7,310 OPA";15,167;5,630
2024;CÁDIZ;202534;ENFERMERÍA;"FACULTAD DE ENFERMERÍA Y FISIOTERAPIA (JEREZ)";SD;"12,303 PREF";8,530;"7,060 OPA";18,414;6,500
2024;CÁDIZ;297001;ENOLOGÍA;"FACULTAD DE CIENCIAS";C;5,000;5,991;"5,550 ONPA";5,000;5,000
2024;CÁDIZ;231503;"ESTUDIOS ÁRABES E ISLÁMICOS";"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;231600;"ESTUDIOS ÁRABES E ISLÁMICOS + ESTUDIOS INGLESES";"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;233004;"ESTUDIOS FRANCESES";"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;233101;"ESTUDIOS FRANCESES + ESTUDIOS INGLESES";"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;"8,440 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;234504;"ESTUDIOS INGLESES";"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;"6,743 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;232000;"FILOLOGÍA CLÁSICA";"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;232108;"FILOLOGÍA CLÁSICA + ESTUDIOS INGLESES";"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;"12,553 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;234008;"FILOLOGÍA HISPÁNICA";"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;5,000;5,000;"7,630 OPA";5,000;5,000
2024;CÁDIZ;234105;"FILOLOGÍA HISPÁNICA + ESTUDIOS INGLESES";"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;"11,884 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;202004;"FINANZAS Y CONTABILIDAD";"FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES";SYJ;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;202101;"FINANZAS Y CONTABILIDAD + RELACIONES LABORALES Y RECURSOS HUMANOS";"FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES";SYJ;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;203504;FISIOTERAPIA;"FACULTAD DE ENFERMERÍA Y FISIOTERAPIA";SD;"12,056 PREF";8,800;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;204016;"GESTIÓN Y ADMINISTRACIÓN PÚBLICA";"FACULTAD DE CIENCIAS SOCIALES Y DE LA COMUNICACIÓN (JEREZ)";SYJ;5,000;8,600;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;237505;HISTORIA;"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;"6,640 N.P.";5,000;"5,000 ONPNA";5,000;6,250
2024;CÁDIZ;238509;HUMANIDADES;"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;221702;"INGENIERÍA AEROESPACIAL";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;"12,274 PREF";6,700;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;222501;"INGENIERÍA CIVIL";"ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA DE ALGECIRAS ETSIA";IYA;5,000;5,000;"5,610 ONPA";5,000;5,000
2024;CÁDIZ;212525;"INGENIERÍA ELÉCTRICA";"ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA DE ALGECIRAS ETSIA";IYA;5,000;5,000;"6,640 OPA";5,000;5,000
2024;CÁDIZ;212506;"INGENIERÍA ELÉCTRICA";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;"6,331 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;212721;"INGENIERÍA ELÉCTRICA + ING. ELECTRÓNICA INDUSTRIAL";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;213022;"INGENIERÍA ELECTRÓNICA INDUSTRIAL";"ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA DE ALGECIRAS ETSIA";IYA;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;213003;"INGENIERÍA ELECTRÓNICA INDUSTRIAL";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;"6,228 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;211200;"INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DEL PRODUCTO";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;"9,851 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;223013;"INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES";"ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA DE ALGECIRAS ETSIA";IYA;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;223009;"INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;"8,991 PREF";7,470;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;223505;"INGENIERÍA INFORMÁTICA";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;"10,323 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;213501;"INGENIERÍA MECÁNICA";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;"10,050 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;213529;"INGENIERÍA MECÁNICA";"ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA DE ALGECIRAS ETSIA";IYA;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;212808;"INGENIERÍA MECÁNICA + INGENIERÍA ELÉCTRICA";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;"9,961 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;211308;"INGENIERÍA MECÁNICA + INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DEL PRODUCTO";"ESCUELA SUPERIOR DE INGENIERÍA";IYA;"12,231 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;224509;"INGENIERÍA QUÍMICA";"FACULTAD DE CIENCIAS";IYA;"6,886 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;224606;"INGENIERÍA QUÍMICA + BIOTECNOLOGÍA";"FACULTAD DE CIENCIAS";SIN;"11,196 PREF";8,420;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;294507;"INGENIERÍA RADIOELECTRÓNICA";"ESCUELA DE INGENIERÍAS MARINA, NAÚTICA Y RADIOELÉCTRICA";IYA;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;295004;"LINGÜÍSTICA Y LENGUAS APLICADAS";"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;5,000;5,000;"6,440 OPA";5,000;5,000
2024;CÁDIZ;295104;"LINGÜÍSTICA Y LENGUAS APLICADAS + ESTUDIOS INGLESES";"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;"10,482 PREF";5,000;"6,440 OPA";5,000;5,000
2024;CÁDIZ;293007;MARINA;"ESCUELA DE INGENIERÍAS MARINA, NAÚTICA Y RADIOELÉCTRICA";IYA;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;249109;"MARKETING E INVESTIG. DE MERCADOS+TURISMO";"FACULTAD DE CIENCIAS SOCIALES Y DE LA COMUNICACIÓN (JEREZ)";SYJ;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;249001;"MARKETING E INVESTIGACIÓN DE MERCADOS";"FACULTAD DE CIENCIAS SOCIALES Y DE LA COMUNICACIÓN (JEREZ)";SYJ;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;239006;MATEMÁTICAS;"FACULTAD DE CIENCIAS";C;"11,937 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;239103;"MATEMÁTICAS + INGENIERÍA INFORMÁTICA";"FACULTAD DE CIENCIAS";SIN;"13,109 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;239502;MEDICINA;"FACULTAD DE MEDICINA";SD;"13,291 PREF";9,010;"7,240 OPA";5,000;5,000
2024;CÁDIZ;293503;"NÁUTICA Y TRANSPORTE MARÍTIMO";"ESCUELA DE INGENIERÍAS MARINA, NAÚTICA Y RADIOELÉCTRICA";IYA;"7,487 PREF";7,260;"6,938 OPNA";5,000;5,000
2024;CÁDIZ;241509;PSICOLOGÍA;"FACULTAD DE CIENCIAS DE LA EDUCACIÓN";SD;"11,519 PREF";8,229;"5,000 ONPNA";15,833;5,500
2024;CÁDIZ;242006;"PUBLICIDAD Y RELACIONES PÚBLICAS";"FACULTAD DE CIENCIAS SOCIALES Y DE LA COMUNICACIÓN (JEREZ)";SYJ;"8,357 PREF";7,730;"5,000 ONPNA";25,646;5,000
2024;CÁDIZ;242200;"PUBLICIDAD Y RELACIONES PÚBLICAS + MARKETING E INVESTIGACIÓN DE MERCADOS";"FACULTAD DE CIENCIAS SOCIALES Y DE LA COMUNICACIÓN (JEREZ)";SYJ;"11,382 PREF";7,740;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;242103;"PUBLICIDAD Y RELACIONES PÚBLICAS + TURISMO";"FACULTAD DE CIENCIAS SOCIALES Y DE LA COMUNICACIÓN (JEREZ)";SYJ;"6,531 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;242502;QUÍMICA;"FACULTAD DE CIENCIAS";C;"8,548 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;242804;"QUÍMICA + ENOLOGÍA";"FACULTAD DE CIENCIAS";C;"7,665 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;208010;"RELACIONES LABORALES Y RECURSOS HUMANOS";"FACULTAD DE CIENCIAS DEL TRABAJO (ALG)";SYJ;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;208006;"RELACIONES LABORALES Y RECURSOS HUMANOS";"FACULTAD DE CIENCIAS DEL TRABAJO";SYJ;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;208502;"TRABAJO SOCIAL";"FACULTAD DE CIENCIAS DEL TRABAJO (SEDE  JEREZ)";SYJ;"7,578 PREF";5,870;"5,000 ONPNA";5,000;5,000
2024;CÁDIZ;208730;TURISMO;"FACULTAD DE CIENCIAS SOCIALES Y DE LA COMUNICACIÓN (JEREZ)";SYJ;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;325515;"ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS";"FACULTAD DE DERECHO Y CC. ECON. Y EMPRES.";SYJ;"9,077 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;325608;"ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS + DERECHO";"FACULTAD DE DERECHO Y CC. ECON. Y EMPRES.";SYJ;"7,730 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;326504;BIOLOGÍA;"FACULTAD DE CIENCIAS";C;"8,530 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;392001;BIOQUÍMICA;"FACULTAD DE CIENCIAS";C;"11,480 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;326709;BIOTECNOLOGÍA;"FACULTAD DE CIENCIAS";C;"11,275 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;392508;"CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS";"FACULTAD DE VETERINARIA";C;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;327001;"CIENCIAS AMBIENTALES";"FACULTAD DE CIENCIAS";C;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;354007;"CINE Y CULTURA";"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;354011;"CINE Y CULTURA (modalidad no presencial)";"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;5,000;6,730;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;329505;DERECHO;"FACULTAD DE DERECHO Y CC. ECON. Y EMPRES.";SYJ;"8,363 PREF";6,697;"5,000 ONPNA";20,000;5,000
2024;CÓRDOBA;345501;"EDUCACIÓN INFANTIL";"FACULTAD DE CIENCIAS DE LA EDUCACIÓN";SYJ;"7,420 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;345516;"EDUCACIÓN INFANTIL";"CENTRO MAGISTERIO SAGRADO CORAZÓN (ADS)";SYJ;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;346511;"EDUCACIÓN PRIMARIA";"CENTRO MAGISTERIO SAGRADO CORAZÓN (ADS)";SYJ;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;346505;"EDUCACIÓN PRIMARIA";"FACULTAD DE CIENCIAS DE LA EDUCACIÓN";SYJ;"9,188 PREF";7,437;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;346524;"EDUCACIÓN PRIMARIA (ITINERARIO BILINGÜE)";"FACULTAD DE CIENCIAS DE LA EDUCACIÓN";SYJ;"8,361 PREF";6,910;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;347100;"EDUCACIÓN PRIMARIA (ITINERARIO BILINGÜE) + ESTUDIOS INGLESES";"FACULTAD DE FILOSOFÍA Y LETRAS";SIN;"10,999 PREF";5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;302207;"EDUCACIÓN SOCIAL";"FACULTAD DE CIENCIAS DE LA EDUCACIÓN";SYJ;"8,380 PREF";7,540;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;302509;ENFERMERÍA;"FACULTAD DE MEDICINA Y ENFERMERÍA";SD;"12,600 PREF";8,310;"7,700 OPA";19,999;7,100
2024;CÓRDOBA;397001;ENOLOGÍA;"E.T.S. INGENIERÍA AGRONÓMICA Y DE MONTES";C;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;397107;"ENOLOGÍA + INGENIERÍA AGROALIMENTARIA Y DEL MEDIO RURAL";"E.T.S. INGENIERÍA AGRONÓMICA Y DE MONTES";SIN;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;334502;"ESTUDIOS INGLESES";"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;334006;"FILOLOGÍA HISPÁNICA";"FACULTAD DE FILOSOFÍA Y LETRAS";AYH;5,000;5,000;"5,000 ONPNA";5,000;5,000
2024;CÓRDOBA;336003;FÍSICA;"FACULTAD DE CIENCIAS";C;"11,017 PREF";8,535;"5,000 ONPNA";5,000;5,000
