num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2024S002718,2024-01-25,16:30:00,AVDA. COMPLUTENSE / CALL. JOSE ANTONIO NOVAIS,6,9,Moncloa - Aravaca,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,1,Atención en urgencias sin posterior ingreso,438314,4477495,false,false
2024S002783,2024-01-26,12:05:00,"CALL. PARQUE EUGENIA DE MONTIJO, 18",18,11,Carabanchel,Atropello a persona,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 65 a 69 años,Hombre,2,Ingreso inferior o igual a 24 horas,436035,4470082,false,false
2024S002783,2024-01-26,12:05:00,"CALL. PARQUE EUGENIA DE MONTIJO, 18",18,11,Carabanchel,Atropello a persona,Despejado,Bicicleta EPAC (pedaleo asistido),Peatón,De 60 a 64 años,Hombre,14,Sin asistencia sanitaria,436035,4470082,false,false
2024S002795,2024-01-26,15:00:00,CALL. ARTURO SORIA / CALL. BUESO PINEDA,143,15,Ciudad Lineal,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 45 a 49 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,444452,4478373,false,false
2024S002805,2024-01-26,16:00:00,"AVDA. MORERAS, 3",3,9,Moncloa - Aravaca,Alcance,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,2,Ingreso inferior o igual a 24 horas,438934,4477989,false,false
2024S002805,2024-01-26,16:00:00,"AVDA. MORERAS, 3",3,9,Moncloa - Aravaca,Alcance,Despejado,Bicicleta,Pasajero,De 21 a 24 años,Hombre,14,Sin asistencia sanitaria,438934,4477989,false,false
2024S002805,2024-01-26,16:00:00,"AVDA. MORERAS, 3",3,9,Moncloa - Aravaca,Alcance,Despejado,Bicicleta,Peatón,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,438934,4477989,false,false
2024S002805,2024-01-26,16:00:00,"AVDA. MORERAS, 3",3,9,Moncloa - Aravaca,Alcance,Despejado,Bicicleta,Peatón,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,438934,4477989,false,false
2024S003082,2024-01-27,10:40:00,"AUTOV. M-607, +01300S",+01300S,8,Fuencarral - El Pardo,Caída,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,,,441507,4486520,false,false
2024S003148,2024-01-28,00:00:00,"PASEO. PRADO, 48",48,1,Centro,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,441259,4473469,false,false
2024S003233,2024-01-28,02:30:00,"CALL. LUCHANA, 21",21,7,Chamberí,Alcance,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440591,4475760,false,false
2024S003434,2024-01-29,14:30:00,"CALL. GENERAL RICARDOS, 104",104,11,Carabanchel,Colisión lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 15 a 17 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,438453,4471591,false,false
2024S003457,2024-01-29,20:17:00,CALL. ELOY GONZALO / CALL. TRAFALGAR,17,7,Chamberí,Alcance,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,440516,4476201,false,false
2024S003464,2024-01-29,20:42:00,"CALL. EMBAJADORES, 86",86,2,Arganzuela,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440483,4472768,false,false
2024S003505,2024-01-30,13:20:00,"CALL. BOLIVAR, 17A",17A,2,Arganzuela,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,,,441490,4471606,false,false
2024S003525,2024-01-30,17:06:00,CTRA. ALCOBENDAS A BARAJAS / CALL. CONCORDIA,14,21,Barajas,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,449221,4482715,false,false
2024S003530,2024-01-30,15:15:00,"PASEO. URUGUAY, 5",5,3,Retiro,Caída,,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Mujer,,,442170,4473632,false,false
2024S003536,2024-01-30,18:35:00,CALL. SOFIA / AVDA. CANILLEJAS A VICALVARO,7,20,San Blas - Canillejas,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,448220,4474427,false,false
2024S003547,2024-01-30,22:10:00,CALL. SOLEDAD CAZORLA / CALL. VALLE INCLAN,1,10,Latina,Caída,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,434230,4469841,true,false
2024S003582,2024-01-31,09:35:00,CALL. JERONIMA LLORENTE / AVDA. DOCTOR FEDERICO RUBIO Y GALI,78,6,Tetuán,Colisión lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,439846,4478182,false,false
2024S003590,2024-01-31,14:25:00,CALL. ILLESCAS / CALL. CAMARENA,80,10,Latina,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,435830,4471548,false,false
2024S003612,2024-01-31,18:20:00,"AEROP. TERMINAL T-4, 0",0,21,Barajas,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,449951,4481545,false,false
2024S003651,2024-02-01,13:15:00,AVDA. POBLADOS / CALL. VALMOJADO,41,10,Latina,Colisión lateral,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,435367,4470820,false,false
2024S003864,2024-02-02,23:45:00,CALL. MARQUES DE VIANA / CALL. MATADERO,67,6,Tetuán,Colisión lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,,,440387,4479393,false,false
2024S003865,2024-02-02,23:40:00,"CALL. TOLEDO, 90",90,1,Centro,Colisión frontal,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,439699,4473339,false,false
2024S004039,2024-02-03,09:38:00,PUENTE DE VALLECAS,2,13,Puente De Vallecas,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,2,Ingreso inferior o igual a 24 horas,444512,4471373,false,false
2024S004039,2024-02-03,09:38:00,PUENTE DE VALLECAS,2,13,Puente De Vallecas,Choque contra obstáculo fijo,Despejado,Bicicleta,Peatón,De 60 a 64 años,Mujer,14,Sin asistencia sanitaria,444512,4471373,false,false
2024S004121,2024-02-04,00:40:00,"CALL. TOLEDO, 48",48,1,Centro,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,,,439935,4473726,false,false
2024S004248,2024-02-04,10:10:00,"RONDA. ATOCHA, 2",2,1,Centro,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,441085,4473201,false,false
2024S004259,2024-02-03,16:15:00,"CALL. MONASTERIO DE LAS HUELGAS, 5",5,8,Fuencarral - El Pardo,Caída,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,2,Ingreso inferior o igual a 24 horas,440060,4483626,false,false
2024S004298,2024-02-04,22:00:00,"CALL. SILVA, 25",25,1,Centro,Colisión frontal,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 35 a 39 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440144,4474820,false,false
2024S004705,2024-01-31,09:05:00,CALL. VIRGEN DE LLUC / CALL. BUEN GOBERNADOR,12,15,Ciudad Lineal,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,444464,4476186,false,false
2024S004815,2024-02-08,00:20:00,CALL. CAIDOS DE LA DIVISION AZUL / CALL. ALFONSO VIII,6,5,Chamartín,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,2,Ingreso inferior o igual a 24 horas,442638,4479891,false,false
2024S004966,2024-02-08,20:15:00,"PASEO. ESPERANZA, 31",31,2,Arganzuela,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 25 a 29 años,Hombre,2,Ingreso inferior o igual a 24 horas,440268,4472399,false,false
2024S004985,2024-02-08,22:50:00,"CALL. SANCHEZ PRECIADO, 73",73,9,Moncloa - Aravaca,Caída,Lluvia débil,Bicicleta,Conductor,De 30 a 34 años,Mujer,1,Atención en urgencias sin posterior ingreso,439851,4479451,false,false
2024S005005,2024-02-09,08:06:00,CALL. CONVENIO / CALL. MENDEZ ALVARO,25,13,Puente De Vallecas,Caída,Lluvia débil,Bicicleta,Conductor,De 50 a 54 años,Mujer,3,Ingreso superior a 24 horas,442959,4471483,false,false
2024S005032,2024-02-09,14:05:00,CALL. VELAZQUEZ / CALL. DIEGO DE LEON,100,4,Salamanca,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 30 a 34 años,Hombre,2,Ingreso inferior o igual a 24 horas,442046,4476220,false,false
2024S005074,2024-02-09,21:45:00,"CALL. VALDERRIBAS, 48",48,3,Retiro,Caída,Lluvia débil,Bicicleta,Conductor,De 25 a 29 años,Hombre,3,Ingreso superior a 24 horas,442944,4472693,false,false
2024S005111,2024-02-09,22:35:00,"CALL. SAN GERMAN, 12",12,6,Tetuán,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 30 a 34 años,Hombre,2,Ingreso inferior o igual a 24 horas,441251,4478631,false,false
2024S005143,2024-02-10,12:00:00,AVDA. NICETO ALCALA ZAMORA / CALL. MARIA DE PORTUGAL,33,16,Hortaleza,Colisión fronto-lateral,Nublado,Bicicleta,Conductor,De 50 a 54 años,Hombre,2,Ingreso inferior o igual a 24 horas,444161,4483516,false,false
2024S005170,2024-02-10,21:00:00,PLAZA. MADRE MOLAS / CALL. PADRE DAMIAN,2,5,Chamartín,Colisión lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,441919,4479367,false,false
2024S005175,2024-02-10,22:10:00,"CALL. SAN BERNARDO, 63",63,1,Centro,Alcance,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,,,440042,4475334,false,false
2024S005280,2024-02-11,12:15:00,CALL. MANUEL NOYA / CALL. JUAN ESPAÑOL,15,12,Usera,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,439523,4470908,false,false
2024S005335,2024-02-12,09:20:00,"CALL. ALCALA, 28",28,1,Centro,Caída,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,440741,4474394,false,false
2024S005354,2024-02-12,09:30:00,CALL. TOLEDO / CALL. CAPITAN SALAZAR MARTINEZ,123,1,Centro,Atropello a persona,,Bicicleta,Conductor,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,439646,4473219,false,false
2024S005354,2024-02-12,09:30:00,CALL. TOLEDO / CALL. CAPITAN SALAZAR MARTINEZ,123,1,Centro,Atropello a persona,,Bicicleta,Conductor,Desconocido,Desconocido,,,439646,4473219,false,false
2024S005354,2024-02-12,09:30:00,CALL. TOLEDO / CALL. CAPITAN SALAZAR MARTINEZ,123,1,Centro,Atropello a persona,,Bicicleta,Peatón,Desconocido,Desconocido,,,439646,4473219,false,false
2024S005472,2024-02-12,15:10:00,CALL. HERMANOS GARCIA NOBLEJAS / CALL. SANTO DOMINGO SAVIO,68,15,Ciudad Lineal,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,446287,4475804,false,false
2024S005526,2024-02-13,08:20:00,ANILLO VERDE CICLISTA P.K. 23.600,73,13,Puente De Vallecas,Caída,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,2,Ingreso inferior o igual a 24 horas,444001,4468920,false,false
2024S005571,2024-02-13,16:30:00,CALL. ALFONSO XII / CALL. CLAUDIO MOYANO,54,3,Retiro,Caída,Despejado,Bicicleta,Conductor,De 21 a 24 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,441554,4473525,false,false
2024S005615,2024-02-14,13:05:00,"CALL. DOCTOR ESQUERDO, 83",83,3,Retiro,Caída,Despejado,Bicicleta,Conductor,De 70 a 74 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,443236,4474395,false,false
2024S005616,2024-02-14,12:20:00,"AVDA. ARCENTALES, 20",20,20,San Blas - Canillejas,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,448238,4476179,false,false
2024S005619,2024-02-07,12:10:00,"CALL. SERRANO, 72",72,4,Salamanca,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,,,441733,4475760,false,false
2024S005645,2024-02-14,16:10:00,"CALL. ALCALDE SAINZ DE BARANDA, 109",109,3,Retiro,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,1,Atención en urgencias sin posterior ingreso,443581,4474545,false,false
2024S005670,2024-02-15,01:05:00,"CALL. AMBROS, 30",30,4,Salamanca,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,443706,4474934,true,false
