centro_codigo;centro_nombre;centro_tipo_codigo;centro_tipo_desc_abreviada;centro_tipo_descripcion;centro_titularidad;centro_titular;nif_titular;nif_centro;dat_codigo;dat_nombre;direccion_via_tipo;direccion_via_nombre;direccion_numero;direccion_codigo_postal;municipio_codigo;municipio_nombre;distrito_codigo;distrito_nombre;contacto_telefono1;contacto_telefono2;contacto_telefono3;contacto_telefono4;contacto_fax;contacto_web;contacto_email1;contacto_email2;direccion_coor_x;direccion_coor_y;situación;fecha_constitución
28000111;REYES CATOLICOS;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8162*;3;Madrid-Este;CALLE;San Vidal;4;28803;005;Alcalá de Henares;;;918880143;;;;918880143;;;;468146;4480586;BAJA;1976-07-08
28000121;PATRONATO S LAZARO;011;CPR EGB;CENTRO PRIVADO DE EDUCACIÓN GENERAL BASICA;PRIVADO;CEP.SAN LAZARO;;;3;Madrid-Este;;FINCA DE LA ORUGA CTRA.N-II KM.33;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA;1979-09-25
28000133;PAT EL SOTO;011;CPR EGB;CENTRO PRIVADO DE EDUCACIÓN GENERAL BASICA;PRIVADO;NO TIENE;;;3;Madrid-Este;;FINCA CTRA.MADRID BARCELONA 25;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA; 
28000145;LOS ANGELES;002;CPR PRE;CENTRO PRIVADO DE EDUCACION PREESCOLAR;PRIVADO;MARIA ANGELES MARTIN RUBIO;;;3;Madrid-Este;;LOPE DE VEGA,19;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA;1970-10-19
28000157;SAGRADO CORAZON DE JESUS;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;RELIGIOSAS FILIPENSES;****0845*;;3;Madrid-Este;CALLE;Escritorios;6;28801;005;Alcalá de Henares;;;918880654;918880073;;;918836927;http://www.colegiofilipensealcaladehenares.es;cc.scorazondejesus.alcala@educa.madrid.org;lourdespgarcia@yahoo.es;468895;4481221;ALTA;1975-10-13
28000169;SAN SATURIO;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;JOSE P MARTINEZ CUESTA;;;3;Madrid-Este;;PAR DEL ANGEL 40 41;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA;1971-05-10
28000170;SAN FRANCISCO DE ASIS;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;COLEGIO SAN IGNACIO COMPAÑIA DE JESUS;****0867*;;3;Madrid-Este;CALLE;Santiago;35;28801;005;Alcalá de Henares;;;918880031;;;;918811012;http://www.sanfranciscodeasisalcala.com;cc.sanfranciscodeasis.alcala@educa.madrid.org;colegio@sanfranciscodeasisalcala.com;469012;4481527;BAJA;1978-10-23
28000182;C.P.NTRA.SRA.DE LA PALOMA;010;CP EGB;CENTRO PUBLICO DE EDUCACION GENERAL BASICA;PÚBLICO;COMUNIDAD DE MADRID;;;3;Madrid-Este;;COLEGIOS 2;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA; 
28000194;E.M.BARBERAN Y COLLAR;010;CP EGB;CENTRO PUBLICO DE EDUCACION GENERAL BASICA;PÚBLICO;COMUNIDAD DE MADRID;;;3;Madrid-Este;;COL BARBERAN Y COLLAR;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA; 
28000200;SANTO TOMAS DE AQUINO;004;CPR INF;CENTRO PRIVADO DE EDUCACIÓN INFANTIL;PRIVADO;INSTITUCION DE SERVICIOS EDUCATIVOS S.A.;;;3;Madrid-Este;;ESCRITORIOS,13-15 Y CERVANTES 10;;28801;005;Alcalá de Henares;;;918842017;;;;0;;;;;;BAJA;1969-07-14
28000212;NTRA. SRA. DEL PILAR;002;CPR PRE;CENTRO PRIVADO DE EDUCACION PREESCOLAR;PRIVADO;JULIAN LOPEZ ASENSIO;;;3;Madrid-Este;AVDA;de los Reyes Católicos;43;28803;005;Alcalá de Henares;;;918816757;;;;0;;;;;;BAJA;1991-06-14
28000224;SAN FELIPE NERI;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;CONGREGACION DEL ORATORIO DE SAN FELIPE NERI;****0027*;;3;Madrid-Este;CALLE;San Felipe Neri;4;28801;005;Alcalá de Henares;;;918881397;;;;918881397;http://www.colegiosanfelipe.es;cc.sanfelipeneri.alcala@educa.madrid.org;sfelipealcala@yahoo.es;468721;4481288;ALTA;1969-10-22
28000236;NTRA. SRA. DE LA SALUD;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;M.REMEDIOS PEREZ TORIJA;;;3;Madrid-Este;;JUAN DE BORGOÑA,D-1,D-3.LUIS DE MEDINA,4;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA;1971-01-20
28000248;SAN JOSE DE CALASANZ;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;SAN JOSE DE CALASANZ S.A. 3687;;;3;Madrid-Este;;TRAV.BEATRIZ GALINDO 3 Y DOS MAS;;28803;005;Alcalá de Henares;;;918802316;;;;0;;;;;;BAJA;1982-02-11
28000251;LUX;013;CPR PRI;CENTRO PRIVADO DE EDUCACIÓN PRIMARIA;PRIVADO;COLEGIO LUX, S.L.;;;3;Madrid-Este;;LOS MOLINOS, 1;;28803;005;Alcalá de Henares;;;918892896;;;;0;;;;;;BAJA;1971-05-10
28000261;SANTOS NIÑOS;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;MARIA LUISA ZURITA DIAZ;;;3;Madrid-Este;;TALAMANCA,11;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA;1966-02-15
28000273;SANTISIMO CRISTO DE LAS VICTORIAS;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;COL.STMO.CRISTO DE LA VICTORIA S.A. 25984;;;3;Madrid-Este;;LUIS DE TORRES 6;;28804;005;Alcalá de Henares;;;918881602;;;;0;;;;;;BAJA;1971-06-28
28000285;NTRA. SRA. DEL VAL;002;CPR PRE;CENTRO PRIVADO DE EDUCACION PREESCOLAR;PRIVADO;ANGELES DE PEDRO FERNANDEZ;;;3;Madrid-Este;;DIEGO DE URBINA 13;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA;1967-04-03
28000297;SAN LUIS;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;JOSE DIEZ PEREZ;;;3;Madrid-Este;;CHORRILLO,1 CTRA.AJALVIR,2 Y P.ANGEL,38;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA;1971-02-02
28000303;ESCUELAS PIAS;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;ESCUELAS PIAS PROVINCIA BETANIA;****0434*;;3;Madrid-Este;AVDA;Lope de Figueroa;27;28804;005;Alcalá de Henares;;;918893158;918880356;;;;http://www.escolapiosalcala.es;cc.escuelaspias.alcala@educa.madrid.org;dir.alcala@escolapiosbetania.es;470018;4481495;ALTA;1968-06-18
28000315;EMPERADOR FERNANDO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8939*;3;Madrid-Este;CALLE;de la Ronda Fiscal;44;28803;005;Alcalá de Henares;;;918823334;;;;918807542;http://www.educa.madrid.org/cp.emperadorfernan.alcala;cp.emperadorfernan.alcala@educa.madrid.org;;468369;4480180;ALTA;1977-03-28
28000327;SANTA MARIA DE LA PROVIDENCIA;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;FUNDACION EDUCACION Y EVANGELIO;****4328*;****0038*;3;Madrid-Este;CALLE;Huertas;4;28807;005;Alcalá de Henares;;;918819409;;;;;http://www.smprovidencia-alcala.es;cc.smdelaprovidencia.alcala@educa.madrid.org;comunicacion@smprovidencia-alcala.es;469022;4482033;ALTA;1950-10-02
28000339;JUNCAL;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8157*;3;Madrid-Este;CALLE;Núñez de Guzmán;31;28802;005;Alcalá de Henares;;;918819011;;;;918834886;;;;467839;4480671;BAJA;1975-12-05
28000340;C.DE PREES.SAN DIEGO DE ALCALA;001;CP PRE;CENTRO PUBLICO DE EDUCACION PREESCOLAR;PÚBLICO;COMUNIDAD DE MADRID;;;3;Madrid-Este;;BRETON;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA; 
28000352;SAGRADO CORAZON;021;CPR EE;CENTRO PRIVADO DE EDUCACIÓN ESPECIAL;PRIVADO;INSTITUC.PED.SAGRADO CORAZON;;;3;Madrid-Este;;SENDA PERDIDA S/N;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA;1900-01-01
28000364;COMPLUTENSE;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8230*;3;Madrid-Este;CALLE;Valladolid;1;28804;005;Alcalá de Henares;;;918880169;;;;918828091;http://www.educa.madrid.org/ies.complutense.alcala;ies.complutense.alcala@educa.madrid.org;;470510;4481599;ALTA;1953-01-01
28000376;NUESTRA SEÑORA DEL VAL;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8161*;3;Madrid-Este;CALLE;Ávila;s/n;28804;005;Alcalá de Henares;;;918893702;;;;;http://www.educa.madrid.org/cp.val.alcala;cp.val.alcala@educa.madrid.org;;470873;4481791;ALTA;1974-07-20
28000388;DOCTORA DE ALCALA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8284*;3;Madrid-Este;CALLE;de Pedro Sarmiento de Gamboa;11;28805;005;Alcalá de Henares;;;918883764;;;;918833055;http://www.educa.madrid.org/cp.doctora.alcala;cp.doctora.alcala@educa.madrid.org;cpdoctora@yahoo.es;469522;4482291;ALTA;1974-07-20
28000391;ALCALA;044;CPR BACH;CENTRO PRIVADO DE BACHILLERATO;PRIVADO;NO TIENE;;;3;Madrid-Este;;SAN IGNACIO DE LOYOLA S/N;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA; 
28000406;SAN GABRIEL;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;PADRES PASIONISTAS;****0066*;;3;Madrid-Este;CTRA;Daganzo;k 2,5;28800;005;Alcalá de Henares;;;918890650;;;;918871277;www.colegiosangabriel.com;cc.sangabriel.alcala@educa.madrid.org;direccion@colegiosangabriel.com;467137;4483263;ALTA;1974-05-16
28000418;LUX;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;PILAR CRIADO GOMEZ;;;3;Madrid-Este;;CNO.DE MECJO 5;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA;1968-10-26
28000421;SAN IGNACIO DE LOYOLA;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;LA FUNDACIÓN EDUCATIVA JESUITAS CENTRO-ESTE;****9776*;;3;Madrid-Este;CALLE;Concepción Arenal;3;28806;005;Alcalá de Henares;;;918871114;918881400;;;918832815;http://www.sanignacioalcala.es;cc.sanignaciodeloyola.alcala@educa.madrid.org;info@sanignacioalcala.es;469041;4482916;ALTA;1966-04-18
28000431;MINERVA;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO;COLEGIOS MINERVA S.L.;****3656*;;3;Madrid-Este;CALLE;Batalla de Lepanto;1;28804;005;Alcalá de Henares;;;918881362;918835635;;;918881362;http://www.educa.madrid.org/cc.minerva.alcala;cc.minerva.alcala@educa.madrid.org;minervalcala@gmail.com;469753;4481732;BAJA;1979-06-07
28000443;SAN ISIDRO I;011;CPR EGB;CENTRO PRIVADO DE EDUCACIÓN GENERAL BASICA;PRIVADO;COLEGIO SAN ISIDRO I, S.A. 16390;;;3;Madrid-Este;;NUÑEZ DE BALBOA 1;;28807;005;Alcalá de Henares;;;918891052;;;;0;;;;;;BAJA;1968-06-27
28000455;SANTA MARIA DEL PARRAL;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;DELEGACION DIOCESANA MIGRACIONES;;;3;Madrid-Este;;PZA.PALACIO 1;;28801;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA;1969-02-11
28000467;ALONSO DE AVELLANEDA;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8042*;3;Madrid-Este;CALLE;Vitoria;3;28804;005;Alcalá de Henares;;;918881174;;;;918883402;http://www.educa.madrid.org/ies.alonsodeavellan.alcala;ies.alonsodeavellan.alcala@educa.madrid.org;;471046;4482286;ALTA;1974-03-14
28000479;CALASANZ;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;FUNDACION ESCOLAPIAS MONTAL;****6895*;;3;Madrid-Este;CALLE;Santiago;29;28801;005;Alcalá de Henares;;;918892900;;;;;http://www.calasanzalcala.com;cc.calasanz.alcala@educa.madrid.org;colegio@calasanzalcala.com;468941;4481493;ALTA;1960-06-08
28000480;AGUA NUEVA;002;CPR PRE;CENTRO PRIVADO DE EDUCACION PREESCOLAR;PRIVADO;VICTORIANO FDEZ FDEZ;;;3;Madrid-Este;;PROGRAMA REYES BL 47;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA;1974-05-16
28000492;LOPE DE VEGA;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO CONCERTADO;PROLOVE, S.A.;****4978*;;3;Madrid-Este;CALLE;de Luis de Medina;12;28805;005;Alcalá de Henares;;;918893879;;;;918892021;http://www.colegiolopedevega.com;cc.lopedevega.alcala@educa.madrid.org;correocam@colegiolopedevega.com;469744;4482228;ALTA;1974-01-19
28000509;N S DE LA ASUNCION;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;JOSE LUIS RODRIGUEZ BALLESTEROS;;;3;Madrid-Este;;DIVINO VALLES 13;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA;1973-11-05
28000510;NTRA. SRA. DE FATIMA;002;CPR PRE;CENTRO PRIVADO DE EDUCACION PREESCOLAR;PRIVADO;M. DEL CARMEN MUÑOZ MUÑOZ;;;3;Madrid-Este;AVDA;de Castilla;25;28804;005;Alcalá de Henares;;;918886521;;;;0;;;;;;BAJA;1974-04-03
28000522;ANTONIO MACHADO;042;IES;INSTITUTO DE EDUCACIÓN SECUNDARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8025*;3;Madrid-Este;CALLE;Alalpardo;s/n;28806;005;Alcalá de Henares;;;918892450;;;;918883916;http://www.educa.madrid.org/ies.machado.alcala;ies.machado.alcala@educa.madrid.org;;468665;4482393;ALTA;1975-08-23
28000534;VALLE INCLAN;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;JUAN JOSE CARRASCOSA VERDU;;;3;Madrid-Este;;INFANTADO 3 Y 5;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA;1975-06-21
28000558;INFANTA CATALINA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8154*;3;Madrid-Este;CALLE;San Vidal;4;28803;005;Alcalá de Henares;;;918886145;682737998;;;918836953;http://www.educa.madrid.org/cp.infantacatalina.alcala;cp.infantacatalina.alcala@educa.madrid.org;;468204;4480481;ALTA;1976-07-08
28000561;C.P.SAN FRANCISCO DE ASIS;010;CP EGB;CENTRO PUBLICO DE EDUCACION GENERAL BASICA;PÚBLICO;COMUNIDAD DE MADRID;;;3;Madrid-Este;;SANTIAGO 43;;00000;005;Alcalá de Henares;;;0;;;;0;;;;;;BAJA; 
28000571;SAN ASTURIO;003;EEI;ESCUELA INFANTIL;PÚBLICO;COMUNIDAD DE MADRID;;;3;Madrid-Este;;LUIS VIVES S/N;;28803;005;Alcalá de Henares;;;918881184;;;;0;;;;;;BAJA;1977-06-17
28000583;C.DE PREES.CARLOS RUIZ;001;CP PRE;CENTRO PUBLICO DE EDUCACION PREESCOLAR;PÚBLICO;COMUNIDAD DE MADRID;;;1;Madrid-Norte;;ORENSE 4;;00000;006;Alcobendas;;;0;;;;0;;;;;;BAJA;1990-09-05
28000595;FEDERICO GARCIA LORCA;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8501*;1;Madrid-Norte;CALLE;del Marqués de la Valdavia;91;28100;006;Alcobendas;;;916624593;916624089;;;916624084;http://www.educa.madrid.org/cp.garcialorca.alcobendas;cp.garcialorca.alcobendas@educa.madrid.org;;445032;4488554;ALTA;1980-09-04
28000601;ANTONIO MACHADO;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;****0001*;****8498*;1;Madrid-Norte;CALLE;de Miraflores;59;28100;006;Alcobendas;;;916526807;916512538;;;916639504;http://www.educa.madrid.org/cp.machado.alcobendas;cp.machado.alcobendas@educa.madrid.org;;445886;4488631;ALTA;1976-11-24
28000613;SAN FRANCISCO DE ASIS;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;MANUEL GARRIDO GARRIDO;;;1;Madrid-Norte;;VALENCIA 63;;00000;006;Alcobendas;;;0;;;;0;;;;;;BAJA;1971-08-12
28000625;SAN PEDRO APOSTOL;008;EIPR;ESCUELA INFANTIL PRIVADA;PRIVADO CONCERTADO;PARROQUIA DE SAN PEDRO APOSTOL;****0551*;****1930*;1;Madrid-Norte;PLAZA;de Felipe Álvarez Gadea;1;28100;006;Alcobendas;;;916535721;656440108;;;916535721;;cc.sanpedroapostol.alcobendas@educa.madrid.org;escuelainfantilsanpedro@gmail.com;446447;4488013;ALTA;2003-01-08
28000637;CASTILLA;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;CENTRO DE ESTUDIOS CASTILLA, S.A. 10485;;;1;Madrid-Norte;;SAN ANTONIO 8;;28100;006;Alcobendas;;;916521721;;;;0;;;;;;BAJA;1970-07-01
28000649;SAN ANTONIO;013;CPR PRI;CENTRO PRIVADO DE EDUCACIÓN PRIMARIA;PRIVADO CONCERTADO;COLEGIO CONCERTADO SAN ANTONIO, S.L.;****4844*;;1;Madrid-Norte;CALLE;de Barcelona;13;28100;006;Alcobendas;;;916527169;;;;;http://www.educa.madrid.org/cc.sanantonio.alcobendas;cc.sanantonio.alcobendas@educa.madrid.org;sanantoniocolegioconcertado@gmail.com;446743;4488144;ALTA;1979-04-26
28000650;BACHILLER ALONSO LOPEZ;014;CP INF-PRI;COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA;PÚBLICO;COMUNIDAD DE MADRID;****8489*;****8489*;1;Madrid-Norte;PASEO;de la Chopera;46;28100;006;Alcobendas;;;916618157;;;;916612505;;cp.bachilleralonso.alcobendas@educa.madrid.org;;445812;4487968;BAJA;1980-09-04
28000662;JUAN XXIII;072;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO;EDUCACHACON, S.L.;****9010*;;1;Madrid-Norte;TRVA;Juan M. Sánchez. Pedagogo;3;28100;006;Alcobendas;;;916516468;647786608;;;916516468;http://www.juanxxiiialcobendas.com;cc.juanxxiii.alcobendas@educa.madrid.org;direccion@juanxxiiialcobendas.com;446082;4488087;BAJA;1982-12-30
28000674;STA ANA PEMAN;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;DOLORES RODRIGUEZ ESPINOSA;;;1;Madrid-Norte;;ISLA DE CORCEGA TRANSRADIO M V 4 9 15;;00000;006;Alcobendas;;;0;;;;0;;;;;;BAJA;1969-11-20
28000686;C.P.VIRGEN DE LA PAZ;010;CP EGB;CENTRO PUBLICO DE EDUCACION GENERAL BASICA;PÚBLICO;COMUNIDAD DE MADRID;;;1;Madrid-Norte;;MARIANO SEBASTIAN IZUEL,25;;00000;006;Alcobendas;;;0;;;;0;;;;;;BAJA;1974-11-28
28000698;LICEO EUROPEO;073;CPR PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA;PRIVADO;LICEO EUROPEO, S.L.;****8851*;;1;Madrid-Norte;CALLE;del Camino Sur;10-12;28109;006;Alcobendas;;;916500000;916500000;916500000;916500000;916500000;http://www.liceo-europeo.es;patricia.real@liceo-europeo.edu.es;ginclan@liceo-europoe.es;445505;4484772;ALTA;1978-12-12
28000704;NIÑO JESUS;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;ANGELA SALVADOR RIVERA;;;1;Madrid-Norte;;MARQUESA VIUDA DE ALDAMA,38;;00000;006;Alcobendas;;;0;;;;0;;;;;;BAJA;1970-12-09
28000716;NTRA. SRA. DE LA ALMUDENA;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;FRANCISCO SANCHEZ GORMAZ;;;1;Madrid-Norte;;QUEVEDO 16 Y CADIZ 19;;28100;006;Alcobendas;;;916621357;;;;0;;;;;;BAJA;1971-08-12
28000728;ISABEL ROSILLO-SANTO ANGEL;015;CPR INF-PRI;CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA;PRIVADO;PEDRO TORTOSA TERUEL;;;1;Madrid-Norte;;FUEGO 25;;28100;006;Alcobendas;;;916538051;;;;0;;;;;;BAJA;1970-03-11
28000731;C.DE PREES.SANTA ANA;001;CP PRE;CENTRO PUBLICO DE EDUCACION PREESCOLAR;PÚBLICO;COMUNIDAD DE MADRID;;;1;Madrid-Norte;;AV.DEL GENERALISIMO 116;;00000;006;Alcobendas;;;0;;;;0;;;;;;BAJA;1975-10-31
