num_expediente,fecha_hora,localizacion,cod_distrito,distrito,tipo_accidente,estado_meteorol贸gico,wktGeometry,positiva_alcohol,positiva_droga,peaton_involucrado,vehiculos_involucrados,lesividad,nivel_lesividad
2025S000110,2025-01-01T22:08:00+01:00,CALL. MENDEZ ALVARO / AVDA. ENTREVIAS,13,PUENTE DE VALLECAS,Colisi贸n fronto-lateral,Despejado,POINT(-3.67540767778 40.3917495191),false,false,false,"Motocicleta hasta 125cc, Turismo",Atenci贸n en urgencias sin posterior ingreso,1
2025S000111,2025-01-01T23:20:00+01:00,AUTOV. M-23 / AUTOV. M-40,14,MORATALAZ,Choque contra obst谩culo fijo,Despejado,POINT(-3.61613584651 40.4157293881),false,false,false,Turismo,Desconocido,5
2025S000112,2025-01-01T23:39:00+01:00,CALL. PINTOR EL GRECO / CALL. MARTIN FIERRO,9,MONCLOA-ARAVACA,Ca铆da,Despejado,POINT(-3.73292140657 40.438723744),false,false,false,Ciclomotor,Atenci贸n en urgencias sin posterior ingreso,6
2025S000115,2025-01-01T23:35:00+01:00,CALL. ALEJANDRO MORAN,11,CARABANCHEL,Choque contra obst谩culo fijo,Despejado,POINT(-3.73319508375 40.3868299425),false,false,false,Turismo,Desconocido,5
2025S000207,2025-01-01T13:20:00+01:00,CALL. SERRALLO / CALL. BERRUGUETE,6,TETU脕N,Choque contra obst谩culo fijo,Despejado,POINT(-3.70499501323 40.459609098),false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000216,2025-01-01T12:30:00+01:00,CALL. AYERBE / CALL. PARROCO MAXIMO MARTINEZ DE CASTRO,21,BARAJAS,Colisi贸n fronto-lateral,Despejado,POINT(-3.57999271596 40.4686822836),false,false,false,Turismo,Desconocido,5
2025S000161,2025-01-02T04:55:00+01:00,CALL. MARTINEZ VILLERGAS / CALL. VERDAGUER Y GARCIA,15,CIUDAD LINEAL,Choque contra obst谩culo fijo,Despejado,POINT(-3.65341183245 40.4407230183),false,false,false,Turismo,Desconocido,5
2025S000164,2025-01-02T06:45:00+01:00,CALL. SAN JAIME / CALL. SIERRA DE GUADALUPE,18,VILLA DE VALLECAS,Ca铆da,Despejado,POINT(-3.62422283941 40.3814154156),false,false,false,Motocicleta hasta 125cc,Asistencia sanitaria s贸lo en el lugar del accidente,3
2025S000165,2025-01-02T07:16:00+01:00,AVDA. MENENDEZ PELAYO / AVDA. NAZARET,3,RETIRO,Ca铆da,Despejado,POINT(-3.6761817352 40.4114118045),false,false,false,Motocicleta > 125cc,Ingreso inferior o igual a 24 horas,7
2025S000197,2025-01-02T07:40:00+01:00,AUTOV. A-4,13,PUENTE DE VALLECAS,Colisi贸n fronto-lateral,Despejado,POINT(-3.68366719948 40.3765927216),false,false,false,"Furgoneta, Turismo",Desconocido,5
2025S000202,2025-01-02T09:30:00+01:00,AVDA. ALBUFERA / CALL. SIERRA DE JAVALAMBRE,13,PUENTE DE VALLECAS,Alcance,Despejado,POINT(-3.66779486341 40.3975865779),false,false,false,"Bicicleta, Turismo",Asistencia sanitaria s贸lo en el lugar del accidente,1
2025S000203,2025-01-02T11:30:00+01:00,CALL. EDGAR NEVILLE / CALL. BASILICA,6,TETU脕N,Colisi贸n lateral,Despejado,POINT(-3.6968210869 40.4492983284),false,false,false,"Furgoneta, Turismo",Sin asistencia sanitaria,1
2025S000206,2025-01-02T10:35:00+01:00,AVDA. CIUDAD DE BARCELONA / CALL. DOCTOR ESQUERDO,3,RETIRO,Choque contra obst谩culo fijo,Despejado,POINT(-3.67470038195 40.4011591305),false,false,false,Turismo,Asistencia sanitaria s贸lo en el lugar del accidente,3
2025S000208,2025-01-02T11:16:00+01:00,CALL. GUETARIA / CALL. ALZOLA,12,USERA,Choque contra obst谩culo fijo,Despejado,POINT(-3.71567755344 40.3680836427),false,false,false,Maquinaria de obras,Desconocido,5
2025S000209,2025-01-02T11:10:00+01:00,CALL. GONZALO LOPEZ,11,CARABANCHEL,Colisi贸n lateral,,POINT(-3.72990071846 40.3861570846),false,false,false,Turismo,Desconocido,5
2025S000210,2025-01-02T09:50:00+01:00,PASEO. PRADO,1,CENTRO,Colisi贸n lateral,Despejado,POINT(-3.69459040209 40.415888286),false,false,false,"Motocicleta > 125cc, Turismo",Sin asistencia sanitaria,1
2025S000215,2025-01-02T11:05:00+01:00,CALL. MENDEZ ALVARO / CALL. RETAMA,13,PUENTE DE VALLECAS,Alcance,Despejado,POINT(-3.67700834096 40.3927491765),false,false,false,"Furgoneta, Turismo",Sin asistencia sanitaria,1
2025S000217,2025-01-02T12:25:00+01:00,PASEO. LA HABANA / CALL. INFANTA MARIA TERESA,5,CHAMART脥N,Colisi贸n fronto-lateral,Despejado,POINT(-3.68358105283 40.4542602573),false,false,false,"Motocicleta hasta 125cc, Turismo",Asistencia sanitaria s贸lo en el lugar del accidente,1
2025S000218,2025-01-02T11:45:00+01:00,CALL. ARGENSOLA,1,CENTRO,Colisi贸n lateral,Despejado,POINT(-3.69480668579 40.4254545861),false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000229,2025-01-02T11:46:00+01:00,CALL. COLEGIATA,1,CENTRO,Colisi贸n lateral,,POINT(-3.706973402 40.4131645705),false,false,false,"Motocicleta > 125cc, Turismo",Desconocido,5
2025S000230,2025-01-02T12:55:00+01:00,CALL. ALTO DEL RETIRO,18,VILLA DE VALLECAS,Colisi贸n fronto-lateral,Despejado,POINT(-3.59920164332 40.3695926484),false,false,false,Turismo,Desconocido,5
2025S000233,2025-01-02T12:40:00+01:00,PLAZA DEL CARMEN 2,1,CENTRO,Choque contra obst谩culo fijo,Despejado,POINT(-3.70340273129 40.4188800646),false,false,false,Turismo,Desconocido,5
2025S000234,2025-01-02T14:10:00+01:00,GTA. YUCATAN / CALL. PEONIAS,16,HORTALEZA,Colisi贸n fronto-lateral,Despejado,POINT(-3.62650771725 40.4512413385),false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000236,2025-01-02T12:25:00+01:00,AVDA. LA GAVIA / CALL. LA ADRADA,18,VILLA DE VALLECAS,Colisi贸n fronto-lateral,Despejado,POINT(-3.61282441206 40.3716113836),false,false,false,Turismo,Asistencia sanitaria s贸lo en el lugar del accidente,1
2025S000237,2025-01-02T15:25:00+01:00,AVDA. CIUDAD DE BARCELONA,3,RETIRO,Alcance,,POINT(-3.67522146888 40.4014173519),false,false,false,"Motocicleta hasta 125cc, Turismo",Sin asistencia sanitaria,1
2025S000238,2025-01-02T14:20:00+01:00,CALL. DOCTOR ESQUERDO,4,SALAMANCA,Colisi贸n lateral,Despejado,POINT(-3.66871969052 40.423166972),false,false,false,"Motocicleta hasta 125cc, Turismo",Ingreso inferior o igual a 24 horas,1
2025S000247,2025-01-02T15:45:00+01:00,CALL. EMILIO MU脩OZ / CALL. RUFINO GONZALEZ,20,SAN BLAS-CANILLEJAS,Colisi贸n fronto-lateral,Despejado,POINT(-3.62445793251 40.4336397836),false,false,false,"Furgoneta, Turismo",Sin asistencia sanitaria,1
2025S000252,2025-01-02T15:55:00+01:00,CALL. NUESTRA SE脩ORA DE VALVERDE,8,FUENCARRAL-EL PARDO,Choque contra obst谩culo fijo,,POINT(-3.68609858339 40.5046324068),false,false,false,Turismo,Desconocido,5
2025S000276,2025-01-02T18:43:00+01:00,CALL. JOSE DEL PINO,17,VILLAVERDE,Colisi贸n lateral,,POINT(-3.68649604839 40.3512152643),false,false,false,"Furgoneta, Motocicleta > 125cc",Desconocido,5
2025S000277,2025-01-02T15:50:00+01:00,CALL. ALCALA / CALL. VALENTIN BEATO,20,SAN BLAS-CANILLEJAS,Colisi贸n lateral,Despejado,POINT(-3.62834149783 40.4404746155),false,false,false,Turismo,Desconocido,5
2025S000278,2025-01-02T15:45:00+01:00,AUTOV. M-30,2,ARGANZUELA,Alcance,Despejado,POINT(-3.68247007374 40.3852034873),false,false,false,"Furgoneta, Turismo",Desconocido,5
2025S000279,2025-01-02T19:12:00+01:00,CALL. LUIS DE HOYOS SAINZ,14,MORATALAZ,Atropello a persona,Despejado,POINT(-3.63856296762 40.4054184377),false,false,true,Turismo,Sin asistencia sanitaria,1
2025S000284,2025-01-02T19:00:00+01:00,CALL. ALGODONALES,6,TETU脕N,Alcance,Despejado,POINT(-3.70223831555 40.4610492968),false,false,false,"Furgoneta, Turismo",Sin asistencia sanitaria,1
2025S000294,2025-01-02T19:25:00+01:00,CALL. CALAMINA,17,VILLAVERDE,Atropello a persona,Despejado,POINT(-3.71157620523 40.3465681176),false,false,true,Turismo,Sin asistencia sanitaria,1
2025S000300,2025-01-02T18:55:00+01:00,AVDA. MIGUEL DELIBES / CALL. JOSE ESCOBAR Y SALIENTE,19,VIC脕LVARO,Alcance,Despejado,POINT(-3.5616566573 40.4057455192),false,false,false,"Furgoneta, Motocicleta > 125cc, Turismo",Desconocido,1
2025S000305,2025-01-02T19:30:00+01:00,CALL. ADOLFO BIOY CASARES,18,VILLA DE VALLECAS,Colisi贸n lateral,Despejado,POINT(-3.59918555673 40.3691062378),false,false,false,"Furgoneta, Turismo",Desconocido,5
2025S000306,2025-01-02T18:30:00+01:00,CALL. ALCALA,4,SALAMANCA,Colisi贸n m煤ltiple,Despejado,POINT(-3.66676186323 40.4290341553),false,false,false,Turismo,Desconocido,5
2025S000311,2025-01-02T20:10:00+01:00,RONDA. ATOCHA,2,ARGANZUELA,Ca铆da,Despejado,POINT(-3.69432481189 40.4072501991),false,false,false,Autob煤s articulado,Sin asistencia sanitaria,1
2025S000313,2025-01-02T20:55:00+01:00,AVDA. PLANETARIO,2,ARGANZUELA,Choque contra obst谩culo fijo,Despejado,POINT(-3.68021144082 40.3949105771),false,false,false,"Furgoneta, Turismo",Desconocido,5
2025S000374,2025-01-02T21:30:00+01:00,CALL. ARROYO FONTARRON / AUTOV. A-3,14,MORATALAZ,Alcance,Despejado,POINT(-3.63901784678 40.3949473651),false,false,false,"Motocicleta > 125cc, Turismo",Asistencia sanitaria s贸lo en el lugar del accidente,1
2025S000397,2025-01-02T22:50:00+01:00,CALL. JOSE DEL HIERRO,15,CIUDAD LINEAL,Colisi贸n fronto-lateral,Despejado,POINT(-3.64272883541 40.4407018265),false,false,false,"Furgoneta, Turismo",Desconocido,5
2025S000398,2025-01-02T00:15:00+01:00,CALL. GINZO DE LIMIA / CALL. SINESIO DELGADO,8,FUENCARRAL-EL PARDO,Colisi贸n fronto-lateral,Despejado,POINT(-3.70240798733 40.4739400945),false,false,false,Turismo,Asistencia sanitaria s贸lo en el lugar del accidente,1
2025S000411,2025-01-02T21:50:00+01:00,CALL. ALCALA / FUENT. CIBELES,1,CENTRO,Alcance,,POINT(-3.69577624746 40.4188721584),false,false,false,"Cuadriciclo no ligero, Turismo",Desconocido,5
2025S000412,2025-01-02T22:40:00+01:00,AVDA. DAROCA,15,CIUDAD LINEAL,Colisi贸n frontal,Despejado,POINT(-3.6301614052 40.4181763324),false,false,false,"Motocicleta hasta 125cc, Turismo",Asistencia sanitaria s贸lo en el lugar del accidente,1
2025S000416,2025-01-02T12:50:00+01:00,CALL. CARPIO Y TORTA / CALL. PRADO MERINERO,11,CARABANCHEL,Colisi贸n fronto-lateral,Despejado,POINT(-3.7542817792 40.3644148392),false,false,false,Turismo,Desconocido,5
2025S000432,2025-01-02T11:00:00+01:00,GTA. ERMITA DE LA VIRGEN DE LA SOLEDAD / AUTOV. M-11,21,BARAJAS,Alcance,Despejado,POINT(-3.58290851351 40.467568518),false,false,false,Turismo,Desconocido,5
2025S024458,2025-01-02T10:13:00+01:00,PLAZA. TORCUATO FERNANDEZ MIRANDA,8,FUENCARRAL-EL PARDO,Otro,,POINT(-3.71922722941 40.4957463809),false,false,false,Turismo,Desconocido,5
2025S000414,2025-01-03T05:01:00+01:00,CALL. EDUARDO BARREIROS,17,VILLAVERDE,Alcance,,POINT(-3.70244925592 40.3589033684),false,false,false,"Cami贸n r铆gido, Turismo",Desconocido,5
2025S000415,2025-01-03T05:30:00+01:00,CALL. CARRANZA,1,CENTRO,Choque contra obst谩culo fijo,Despejado,POINT(-3.70493949756 40.4294653248),false,false,false,Turismo,Desconocido,5
2025S000417,2025-01-03T06:45:00+01:00,CTRA. VILLAVERDE A VALLECAS,18,VILLA DE VALLECAS,Choque contra obst谩culo fijo,Despejado,POINT(-3.65436686019 40.3664828165),false,false,false,"Motocicleta hasta 125cc, Todo terreno, Turismo",Desconocido,5
2025S000418,2025-01-03T08:15:00+01:00,CALL. O'DONNELL,4,SALAMANCA,Atropello a persona,Despejado,POINT(-3.67576483921 40.4215764519),false,false,true,Motocicleta > 125cc,Sin asistencia sanitaria,1
2025S000419,2025-01-03T07:00:00+01:00,CALL. CAMINO DE LOS VINATEROS / CALL. ARROYO DE LA MEDIA LEGUA,14,MORATALAZ,Alcance,Despejado,POINT(-3.65493687825 40.4107503101),false,false,false,"Motocicleta hasta 125cc, Todo terreno",Asistencia sanitaria s贸lo en el lugar del accidente,1
2025S000420,2025-01-03T09:10:00+01:00,RONDA. ATOCHA,2,ARGANZUELA,Ca铆da,Despejado,POINT(-3.69303488424 40.4078795632),false,false,false,"Motocicleta hasta 125cc, Turismo",Asistencia sanitaria inmediata en centro de salud o mutua,5
2025S000433,2025-01-03T10:00:00+01:00,CALL. ALCALA / CALL. ARGENTINA,15,CIUDAD LINEAL,Colisi贸n fronto-lateral,Despejado,POINT(-3.64882227459 40.4330731768),false,false,false,"Motocicleta hasta 125cc, Turismo",Desconocido,5
2025S000445,2025-01-03T11:00:00+01:00,AVDA. PIO XII,5,CHAMART脥N,Colisi贸n m煤ltiple,Nublado,POINT(-3.67484723002 40.4665637947),false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000452,2025-01-03T11:00:00+01:00,AVDA. GRAN VIA DE VILLAVERDE / AVDA. ANDALUCIA,17,VILLAVERDE,Alcance,Despejado,POINT(-3.69305128121 40.3462481643),false,false,false,"Furgoneta, Turismo",Sin asistencia sanitaria,1
2025S000456,2025-01-03T11:15:00+01:00,CALL. ARROYO DE LA MEDIA LEGUA / AUTOV. M-23,14,MORATALAZ,Solo salida de la v铆a,,POINT(-3.64667136348 40.4153013675),false,false,false,Furgoneta,Desconocido,5
2025S000469,2025-01-03T12:15:00+01:00,CALL. SAN MAXIMILIANO,15,CIUDAD LINEAL,Choque contra obst谩culo fijo,Despejado,POINT(-3.65273454962 40.4255556337),false,false,false,"Furgoneta, Turismo",Desconocido,5
2025S000473,2025-01-03T13:20:00+01:00,PASEO. CASTELLANA / CALL. GOYA,4,SALAMANCA,Colisi贸n fronto-lateral,Despejado,POINT(-3.69021111746 40.4256442762),false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000479,2025-01-03T13:10:00+01:00,CALL. EUGENIA DE MONTIJO,11,CARABANCHEL,Colisi贸n frontal,,POINT(-3.74906538314 40.377286709),false,false,false,Turismo,Desconocido,5
2025S000483,2025-01-03T12:50:00+01:00,CALL. DOCTOR ESQUERDO / CALL. IBIZA,3,RETIRO,Colisi贸n lateral,Despejado,POINT(-3.66936487596 40.4180911449),false,false,false,"Turismo, Veh铆culo articulado",Desconocido,5
2025S000484,2025-01-03T13:04:00+01:00,CALL. PALOS DE LA FRONTERA,2,ARGANZUELA,Colisi贸n lateral,Despejado,POINT(-3.69526121815 40.4031904938),false,false,false,"Cami贸n r铆gido, Turismo",Desconocido,5
2025S000486,2025-01-03T13:20:00+01:00,CTRA. VILLAVERDE A VALLECAS / CALL. CASAS DE MIRAVETE,18,VILLA DE VALLECAS,Colisi贸n lateral,Despejado,POINT(-3.64062741719 40.3720643219),false,false,false,"Tractocami贸n, Turismo",Desconocido,1
2025S000487,2025-01-03T13:20:00+01:00,CALL. PRINCIPE DE VERGARA,5,CHAMART脥N,Alcance,,POINT(-3.67693226278 40.4568849654),false,false,false,"Motocicleta hasta 125cc, Turismo",Desconocido,5
2025S000488,2025-01-03T13:40:00+01:00,AVDA. CARDENAL HERRERA ORIA / AUTOV. M-30,8,FUENCARRAL-EL PARDO,Ca铆da,Despejado,POINT(-3.75154293834 40.4761175116),false,false,false,Motocicleta hasta 125cc,Asistencia sanitaria inmediata en centro de salud o mutua,5
2025S000489,2025-01-03T14:00:00+01:00,CALL. ISLA DE AROSA,8,FUENCARRAL-EL PARDO,Atropello a persona,Lluvia d茅bil,POINT(-3.71722702859 40.4796778736),false,false,true,Ciclomotor,Sin asistencia sanitaria,1
2025S000490,2025-01-03T15:00:00+01:00,CALL. RAIMUNDO FERNANDEZ VILLAVERDE,6,TETU脕N,Choque contra obst谩culo fijo,,POINT(-3.6968525043 40.4466314761),false,false,false,Autob煤s,Desconocido,5
2025S000511,2025-01-03T15:00:00+01:00,CALL. SANTIAGO DE COMPOSTELA / GTA. REALES ACADEMIAS,8,FUENCARRAL-EL PARDO,Colisi贸n lateral,Lluvia d茅bil,POINT(-3.70560640201 40.481965603),false,false,false,"Semiremolque, Turismo",Desconocido,5
2025S000514,2025-01-03T14:50:00+01:00,AVDA. AMERICA,4,SALAMANCA,Colisi贸n m煤ltiple,Lluvia d茅bil,POINT(-3.66528250802 40.4428084674),false,false,false,"Todo terreno, Turismo",Sin asistencia sanitaria,1
2025S000516,2025-01-03T17:29:00+01:00,PLAZA. CHAMBERI,7,CHAMBER脥,Ca铆da,Nublado,POINT(-3.69731811149 40.4323493883),false,false,false,Motocicleta hasta 125cc,Asistencia sanitaria s贸lo en el lugar del accidente,3
2025S000519,2025-01-03T16:30:00+01:00,CALL. SAN FLORENCIO / CALL. PICO DEL SALTADERO,13,PUENTE DE VALLECAS,Colisi贸n fronto-lateral,Nublado,POINT(-3.6600960542 40.4044056128),false,false,false,Turismo,Desconocido,5
2025S000521,2025-01-03T17:30:00+01:00,PASEO. CHOPERA,2,ARGANZUELA,Alcance,Lluvia d茅bil,POINT(-3.70132254396 40.3956313143),false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000522,2025-01-03T17:05:00+01:00,AVDA. ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,Choque contra obst谩culo fijo,Nublado,POINT(-3.61501174664 40.3751043257),false,false,false,Turismo,Atenci贸n en urgencias sin posterior ingreso,6
2025S000523,2025-01-03T14:20:00+01:00,PASEO. CASTELLANA,8,FUENCARRAL-EL PARDO,Ca铆da,Despejado,POINT(-3.6864495419 40.4776936124),false,false,false,Motocicleta hasta 125cc,Asistencia sanitaria s贸lo en el lugar del accidente,3
2025S000524,2025-01-03T17:58:00+01:00,CALL. ARROYO DE LA MEDIA LEGUA / AUTOV. M-23,14,MORATALAZ,Choque contra obst谩culo fijo,Nublado,POINT(-3.64762249573 40.4149266722),false,false,false,Turismo,Sin asistencia sanitaria,1
2025S000525,2025-01-03T17:20:00+01:00,CALL. JOSE ORTEGA Y GASSET / CALL. MONTESA,4,SALAMANCA,Ca铆da,Lluvia d茅bil,POINT(-3.67218037873 40.4297685454),false,false,false,"Motocicleta hasta 125cc, Turismo",Asistencia sanitaria s贸lo en el lugar del accidente,1
2025S000526,2025-01-03T18:50:00+01:00,CALL. DOCTOR FLEMING / CALL. PROFESOR WAKSMAN,5,CHAMART脥N,Colisi贸n fronto-lateral,Nublado,POINT(-3.68836373189 40.4560336727),false,false,false,"Furgoneta, Turismo",Asistencia sanitaria s贸lo en el lugar del accidente,3
