centro_codigo,centro_nombre,centro_tipo_codigo,centro_tipo_descripcion,centro_titularidad,direccion,direccion_codigo_postal,distrito_codigo,distrito_nombre,contacto_telefono,contacto_web,contacto_email,wktGeometry
28005234,CIUDAD DE LOS ANGELES,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de la Alegría de la Huerta, 6",28041,17,Villaverde,917954993,http://www.educa.madrid.org/cp.ciudaddelosangeles.madrid,cp.ciudaddelosangeles.madrid@educa.madrid.org,POINT(-3.69609155674 40.3556444647)
28005246,CIUDAD PEGASO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Avda Séptima, 12",28022,20,San Blas-Canillejas,917412017,http://www.educa.madrid.org/cp.ciudadpegaso.madrid,cp.ciudadpegaso.madrid@educa.madrid.org,POINT(-3.59805114718 40.4472479148)
28005258,CLAUDIO MOYANO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Cea Bermúdez, 26",28003,7,Chamberí,915335718,http://www.educa.madrid.org/cp.claudiomoyano.madrid,cp.claudiomoyano.madrid@educa.madrid.org,POINT(-3.70884752188 40.4389999928)
28005261,CONDE DE ROMANONES,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle del Elfo, 143",28027,15,Ciudad Lineal,913673655,http://www.educa.madrid.org/cp.condederomanones.madrid,cp.condederomanones.madrid@educa.madrid.org,POINT(-3.64245018989 40.4374421079)
28005271,CRISTOBAL COLON,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Ctra CARABANCHEL VILLAVERDE, 109",28041,17,Villaverde,917973312,https://site.educa.madrid.org/cp.cristobalcolon.madrid/,cp.cristobalcolon.madrid@educa.madrid.org,POINT(-3.70602405451 40.3504850848)
28005295,DIVINO CORAZON,72,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,"Calle del Divino Redentor, 55-57",28029,6,Tetuán,913158107,http://doctrinacristianamadrid.es,cc.divinocorazon.madrid@educa.madrid.org,POINT(-3.70065436988 40.4686624791)
28005349,EMILIA PARDO BAZAN,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle del Ventorrillo, 14",28005,1,Centro,915306059,http://www.educa.madrid.org/cp.pardobazan.madrid,cp.pardobazan.madrid@educa.madrid.org,POINT(-3.70552778495 40.4067859829)
28005350,FRANCISCO FATOU,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Cmno de la Suerte, 23",28031,18,Villa de Vallecas,913321050,https://www.educa2.madrid.org/web/centro.cp.franciscofatou.madrid,cp.franciscofatou.madrid@educa.madrid.org,POINT(-3.61837720611 40.3760053102)
28005374,FRANCISCO DE QUEVEDO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Granada, 16",28007,3,Retiro,915515211,http://www.educa.madrid.org/cp.quevedo.madrid,cp.quevedo.madrid@educa.madrid.org,POINT(-3.67937914744 40.4047173449)
28005386,FRANCISCO RUANO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Almuradiel, 150",28053,13,Puente de Vallecas,917862196,http://www.educa.madrid.org/cp.franciscoruano.madrid,cp.franciscoruano.madrid@educa.madrid.org,POINT(-3.67354773298 40.3800935845)
28005404,FRAY JUNIPERO SERRA,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Cmno de Valderribas, 120",28038,13,Puente de Vallecas,914304882,http://www.educa.madrid.org/cp.frayjunipero.madrid,cp.frayjunipero.madrid@educa.madrid.org,POINT(-3.65821843253 40.3955423709)
28005428,FRAY PEDRO PONCE DE LEON,20,COLEGIO DE EDUCACIÓN ESPECIAL,PÚBLICO,"Calle de los Yébenes, 76",28047,10,Latina,917178866,https://www.eduda2.madrid.org/web/centro.cpee.poncedeleon.madrid,cpee.poncedeleon.madrid@educa.madrid.org,POINT(-3.7527824561 40.3937311604)
28005431,REINA VICTORIA,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle del Príncipe de Vergara, 61",28006,4,Salamanca,915631283,http://www.educa.madrid.org/cp.reinavictoria.madrid,cp.reinavictoria.madrid@educa.madrid.org,POINT(-3.67969150408 40.4334183307)
28005441,GONZALO FERNANDEZ DE CORDOBA,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Adanero, 3",28024,10,Latina,917113625,http://www.educa.madrid.org/cp.fernandezdecord.madrid,cp.fernandezdecord.madrid@educa.madrid.org,POINT(-3.77959401814 40.3942021532)
28005453,GUATEMALA,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Celanova, 2",28029,8,Fuencarral-El Pardo,917394481,http://www.educa.madrid.org/cp.guatemala.madrid,cp.guatemala.madrid@educa.madrid.org,POINT(-3.7142766814 40.471804306)
28005465,GUSTAVO ADOLFO BECQUER,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Santa Genoveva, 32",28017,15,Ciudad Lineal,914051507,http://www.educa.madrid.org/cp.becquer.madrid,cp.becquer.madrid@educa.madrid.org,POINT(-3.6490416651 40.4240088504)
28005477,HAITI,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Guabairo, 22",28047,11,Carabanchel,914220250,http://www.educa.madrid.org/cp.haiti.madrid,cp.haiti.madrid@educa.madrid.org,POINT(-3.74627619663 40.3860705798)
28005489,HERMANOS PINZON,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle del Azor, 4",28024,10,Latina,915186040,http://www.educa.madrid.org/cp.hermanospinzon.madrid,cp.hermanospinzon.madrid@educa.madrid.org,POINT(-3.76878031143 40.3986169187)
28005490,HERNAN CORTES,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de los Yébenes, 241",28047,10,Latina,917176844,http://www.educa.madrid.org/cp.hernancortes.madrid,cp.hernancortes.madrid@educa.madrid.org,POINT(-3.7510102864 40.3911841097)
28005519,HONDURAS,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Paseo de Federico García Lorca, 19",28031,18,Villa de Vallecas,913325719,http://www.educa.madrid.org/cp.honduras.madrid,cp.honduras.madrid@educa.madrid.org,POINT(-3.62073732678 40.3777404368)
28005520,HOSPITAL DEL NIÑO JESUS,36,AULA HOSPITALARIA,PÚBLICO,"Avda de Menéndez Pelayo, 65",28009,3,Retiro,914094607,http://www.educa.madrid.org/cpee.hospitalninojesus.madrid,cpee.hospitalninojesus.madrid@educa.madrid.org,POINT(-3.67685475113 40.4138853572)
28005556,MARIA SORIANO,20,COLEGIO DE EDUCACIÓN ESPECIAL,PÚBLICO,"Avda de la Peseta, 30",28054,11,Carabanchel,914624600,http://www.educa.madrid.org/cpee.mariasoriano.madrid,cpee.mariasoriano.madrid@educa.madrid.org,POINT(-3.76161092121 40.3626190386)
28005568,ISAAC PERAL,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Gta de Rufino Novalvos, 5",28025,11,Carabanchel,914726780,http://www.educa.madrid.org/cp.isaacperal.madrid,cp.isaacperal.madrid@educa.madrid.org,POINT(-3.7308333495 40.3863313756)
28005571,LUIS BELLO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Luis Cabrera, 66",28002,5,Chamartín,912205533,http://www.educa.madrid.org/cp.luisbello.madrid,cp.luisbello.madrid@educa.madrid.org,POINT(-3.67347461135 40.4436889595)
28005601,JAIME BALMES,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Sierra de la Solana, 2",28053,13,Puente de Vallecas,914785884,http://www.educa.madrid.org/cp.jaimebalmes.madrid,cp.jaimebalmes.madrid@educa.madrid.org,POINT(-3.67085658146 40.3878840837)
28005623,JAVIER DE MIGUEL,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle del Puerto de Viñamala, 11",28018,13,Puente de Vallecas,913035102,http://www.educa.madrid.org/cp.javierdemiguel.madrid,cp.javierdemiguel.madrid@educa.madrid.org,POINT(-3.65650097859 40.3849213994)
28005635,JOAQUIN DICENTA,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Paseo Olivos, 70",28011,10,Latina,914632093,http://www.educa.madrid.org/cp.joaquindicenta.madrid,cp.joaquindicenta.madrid@educa.madrid.org,POINT(-3.73805449443 40.4056640069)
28005660,JOSE MARIA DE PEREDA,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Mestanza, 94",28053,13,Puente de Vallecas,915072651,http://www.educa.madrid.org/cp.pereda.madrid,cp.pereda.madrid@educa.madrid.org,POINT(-3.67495448299 40.3817610762)
28005684,JOVELLANOS,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Monroy, 34",28044,10,Latina,917055018,http://www.educa.madrid.org/cp.jovellanos.madrid,cp.jovellanos.madrid@educa.madrid.org,POINT(-3.7832720389 40.3790961263)
28005696,JUAN DE LA CIERVA,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Villarrosa, 7",28041,17,Villaverde,917230235,http://www.educa.madrid.org/cp.juandelacierva.madrid,cp.juandelacierva.madrid@educa.madrid.org,POINT(-3.69041444931 40.3543991958)
28005714,JUAN RAMON JIMENEZ,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle del Marqués de Viana, 58",28039,6,Tetuán,915717512,http://www.educa.madrid.org/cp.juanramonjimenez.madrid,cp.juanramonjimenez.madrid@educa.madrid.org,POINT(-3.70318182169 40.463304813)
28005726,JUAN SEBASTIAN ELCANO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Mirasierra, 29",28026,12,Usera,685477556,http://www.educa.madrid.org/cp.elcano.madrid,cp.elcano.madrid@educa.madrid.org,POINT(-3.70471851725 40.3890790842)
28005738,LOPEZ VICUÑA,72,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,"Calle de Hinojal, 7",28037,20,San Blas-Canillejas,913202969,http://www.lopezvicu.es,cc.lopezvicuna.madrid@educa.madrid.org,POINT(-3.61302062103 40.432223514)
28005741,LUIS DE GONGORA,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Sarriá, 49",28029,8,Fuencarral-El Pardo,913860816,http://www.educa.madrid.org/cp.gongora.madrid,cp.gongora.madrid@educa.madrid.org,POINT(-3.71455409138 40.4746043754)
28005763,MANUEL DE FALLA,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Avda Real de Pinto, 27",28021,17,Villaverde,917971448,http://www.educa.madrid.org/cp.manueldefalla.madrid,cp.manueldefalla.madrid@educa.madrid.org,POINT(-3.705921786 40.3463234831)
28005787,COLEGIO DIOCESANO MARIA INMACULADA - MOGAMBO,72,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,"Calle de Mogambo, 5",28018,13,Puente de Vallecas,917774651,http://www.mariainmaculadamogambo.es,cc.mariainmaculada.madrid@educa.madrid.org,POINT(-3.65673428533 40.3798299277)
28005799,COLEGIO DIOCESANO MARIA INMACULADA - JOAQUIN TURINA,72,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,"Calle de Joaquín Turina, 58",28044,11,Carabanchel,915092950,http://www.educa.madrid.org/cc.mariainmaculadacarabanchel.madrid,cc.mariainmaculadacarabanchel.madrid@educa.madrid.org,POINT(-3.75814969476 40.3722004364)
28005805,COLEGIO DIOCESANO MARIA INMACULADA - LUIS RUIZ,4,CENTRO PRIVADO DE EDUCACIÓN INFANTIL,PRIVADO CONCERTADO,"Calle de Luis Ruiz, 26",28017,15,Ciudad Lineal,913675838,http://www.mariainmaculadaluisruiz.es/,cc.minmaculada-luisruiz.madrid@educa.madrid.org,POINT(-3.6389503807 40.4314254514)
28005817,JORGE MANRIQUE,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Plaza del Pintor Lucas, 17",28026,12,Usera,915656300,http://www.educa.madrid.org/cp.jorgemanrique.madrid,cp.jorgemanrique.madrid@educa.madrid.org,POINT(-3.71048457287 40.3883951459)
28005830,MARQUES DE MARCENADO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Linneo, 31",28005,2,Arganzuela,913658588,http://www.educa.madrid.org/cp.marquesdemarcenado.madrid,cp.marquesdemarcenado.madrid@educa.madrid.org,POINT(-3.72026514064 40.4106500893)
28005842,MATER AMABILIS,72,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,"Calle de la Gavia Seca, 15",28031,18,Villa de Vallecas,913324935,http://www.educa.madrid.org/cc.materamabilis.madrid,cc.materamabilis.madrid@educa.madrid.org,POINT(-3.61934652504 40.3789461078)
28005854,AMOS ACERO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Rodríguez Espinosa, 54",28053,13,Puente de Vallecas,914785161,http://www.educa.madrid.org/cp.amosacero.madrid,cp.amosacero.madrid@educa.madrid.org,POINT(-3.66412370117 40.389733777)
28005866,MEJICO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Avda de Badajoz, 74",28027,15,Ciudad Lineal,914035744,http://www.educa.madrid.org/cp.mejico.madrid,cp.mejico.madrid@educa.madrid.org,POINT(-3.65077358418 40.4434766421)
28005878,MENDEZ NUNEZ,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Alicun, 9",28033,16,Hortaleza,913024834,http://www.educa.madrid.org/cp.mendeznunez.madrid,cp.mendeznunez.madrid@educa.madrid.org,POINT(-3.65974038732 40.4789662702)
28005881,MENENDEZ Y PELAYO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Méndez Álvaro, 16",28045,2,Arganzuela,915272781,http://www.educa.madrid.org/cp.menendezypelayo.madrid,cp.menendezypelayo.madrid@educa.madrid.org,POINT(-3.69151508613 40.4056273883)
28005891,MENENDEZ PIDAL,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de la Encomienda de Palacios, 85",28030,14,Moratalaz,917736781,http://www.educa.madrid.org/cp.menendezpidal.madrid,cp.menendezpidal.madrid@educa.madrid.org,POINT(-3.64114455796 40.4005212288)
28005908,MESONERO ROMANOS,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Pont de Molins, 31",28038,13,Puente de Vallecas,913037096,http://www.educa.madrid.org/cp.mesoneroromanos.madrid,cp.mesoneroromanos.madrid@educa.madrid.org,POINT(-3.64471855163 40.3934652563)
28005911,NAVAS DE TOLOSA,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Benimamet, 109",28021,17,Villaverde,917976083,http://www.educa.madrid.org/cp.navasdetolosa.madrid,cp.navasdetolosa.madrid@educa.madrid.org,POINT(-3.68625158115 40.3445229137)
28005933,EDUARDO ROJO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Eduardo Rojo, 2",28018,13,Puente de Vallecas,914774560,http://www.educa.madrid.org/cp.eduardorojo.madrid,cp.eduardorojo.madrid@educa.madrid.org,POINT(-3.66292861508 40.3868126775)
28005945,NUESTRA SEÑORA DE LA CONCEPCION,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de la Virgen del Sagrario, 24",28027,15,Ciudad Lineal,914040275,http://www.educa.madrid.org/cp.concepcion.madrid,cp.concepcion.madrid@educa.madrid.org,POINT(-3.64992294102 40.4371841212)
28005994,PADRE COLOMA,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Gutiérrez Canales, 19",28022,20,San Blas-Canillejas,917426447,http://www.educa.madrid.org/cp.padrecoloma.madrid,cp.padrecoloma.madrid@educa.madrid.org,POINT(-3.61521114612 40.4487794871)
28006007,PADRE MARIANA,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Ronda Sur, 145",28053,13,Puente de Vallecas,917861773,http://www.educa.madrid.org/cp.padremariana.madrid,cp.padremariana.madrid@educa.madrid.org,POINT(-3.67075033085 40.3771728739)
28006019,PADRE PIQUER,45,CENTRO PRIVADO DE EDUCACIÓN SECUNDARIA,PRIVADO CONCERTADO,"Calle del Cañaveral, 96",28029,6,Tetuán,913153947,http://www.padrepiquer.es,cc.padrepiquer.madrid@educa.madrid.org,POINT(-3.6915419334 40.4715371643)
28006020,PADRE POVEDA,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Avda de Alfonso XIII, 23",28002,5,Chamartín,915199877,http://www.educa.madrid.org/cp.padrepoveda.madrid,cp.padrepoveda.madrid@educa.madrid.org,POINT(-3.66778254725 40.4511724289)
28006044,PARQUE ALUCHE,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Quero, 47",28024,10,Latina,917178190,http://www.educa.madrid.org/cp.parquealuche.madrid,cp.parquealuche.madrid@educa.madrid.org,POINT(-3.76083878351 40.3913540931)
28006056,PERU,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Baleares, 18",28019,11,Carabanchel,915691465,http://www.educa.madrid.org/cp.peru.madrid,cp.peru.madrid@educa.madrid.org,POINT(-3.71330383023 40.394296754)
28006068,PINAR DEL REY,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Avda de San Luis, 23",28033,16,Hortaleza,917664763,http://www.educa.madrid.org/cp.pinardelrey.madrid,cp.pinardelrey.madrid@educa.madrid.org,POINT(-3.6541710197 40.4715925561)
28006071,PIO XII,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle del Delfín, 2",28029,6,Tetuán,913151221,http://www.educa.madrid.org/cp.piodoce.madrid,cp.piodoce.madrid@educa.madrid.org,POINT(-3.69381851646 40.4669379577)
28006101,PUERTO RICO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle del Segura, 74",28041,12,Usera,913412726,http://www.educa.madrid.org/cp.puertorico.madrid,cp.puertorico.madrid@educa.madrid.org,POINT(-3.71971615097 40.3679504702)
28006111,GONZALO DE BERCEO,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Avda de Abrantes, 5",28025,11,Carabanchel,915697225,http://www.educa.madrid.org/cp.gonzalodeberceo.madrid,cp.gonzalodeberceo.madrid@educa.madrid.org,POINT(-3.723208231 40.3828027091)
28006123,RAMIRO DE MAEZTU,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Calle de Serrano, 127",28006,5,Chamartín,915616249,http://www.educa.madrid.org/cp.ramirodemaeztu.madrid,cp.ramirodemaeztu.madrid@educa.madrid.org,POINT(-3.6861721729 40.4423259991)
28006135,REGIMIENTO INMEMORIAL DEL REY,14,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,"Avda de Moratalaz, 51",28030,14,Moratalaz,914390948,http://www.educa.madrid.org/cp.regimiento.madrid,cp.regimiento.madrid@educa.madrid.org,POINT(-3.65723662248 40.407268769)
