PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
10297437;Colegio Mayor Barberán y Collar;;;Tipo mixta.;Consulta los siguientes enlaces:;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=20cd849d706fa510VgnVCM2000001f4a900aRCRD;SENECA;AVENIDA;V;16;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;437816;4476247;40.434.545.397.562.400;-37.331.585.246.591.500;916 020 300;;cmubarberan@mde.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6533;Colegio Mayor Berrospe;;;Tipo femenina.;Metro: Vicente Aleixandre (línea 6).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=938b79262ef5d010VgnVCM1000000b205a0aRCRD;MONCLOA;AVENIDA;V;9;;;;;MADRID;MADRID;28003;6;VALLEHERMOSO;7;CHAMBERI;439217;4477548;4.044.636.760.362.390;-3.716.758.311.138.520;91 533 59 00;;cmberrospe@berrospe.org;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
10297474;Colegio Mayor Casa Do Brasil;;;Tipo mixta.;Metro: Ciudad Universitaria (línea 6).;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d8b0849d706fa510VgnVCM2000001f4a900aRCRD;MEMORIA;AVENIDA;V;3;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438486;4476684;4.043.853.583.084.270;-37.252.915.757.655.100;914 551 560;;sec@casadobrasil.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
10297556;Colegio Mayor Chaminade;;;Tipo mixta.;Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (línea 6 y 7).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fce1849d706fa510VgnVCM2000001f4a900aRCRD;JUAN XXIII;PASEO;V;9;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439137;4477657;4.044.734.637.151.860;-37.177.116.209.853.800;915 545 400;;secretaria@fugjchaminade.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
10297714;Colegio Mayor Diego de Covarrubias;;;Tipo mixta.;Metro: Moncloa (Línea 6), Ciudad Universitaria (Línea 6);;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8f15849d706fa510VgnVCM2000001f4a900aRCRD;SENECA;AVENIDA;V;10;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438108;4476343;4.043.543.488.509.480;-37.297.224.981.364.500;913 941 030;913 941 158;cmm@pas.ucm.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
10297748;Colegio Mayor Elías Ahúja;;;Tipo masculina.;Metro: Guzman el Bueno (Línea 6);;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba16849d706fa510VgnVCM2000001f4a900aRCRD;RECTOR ROYO-VILLANOVA;CALLE;V;4;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439345;4478044;4.045.084.427.289.560;-37.153.019.237.576.600;915 337 700;;info@eliasahuja.org;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6522;Colegio Mayor Fundación SEPI;;;Tipo mixta.;Metro: Vicente Aleixandre (línea 6).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3163b54d771c010VgnVCM1000000b205a0aRCRD;GREGORIO DEL AMO;AVENIDA;V;2;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439043;4477609;40.446.907.485.706.800;-37.188.228.498.669.300;915 336 812;;cmusepi.cm@funep.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6520;Colegio Mayor Jaime del Amo;;;Tipo masculino.;Metro: Vicente Aleixandre (línea 6),;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ed563b54d771c010VgnVCM1000000b205a0aRCRD;GREGORIO DEL AMO;AVENIDA;V;5;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438750;4477491;4.044.582.638.073.110;-372.226.686.792.607;915 540 804;915 547 066;secretaria@jaimedelamo.org;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6521;Colegio Mayor Jorge Juan;;;Tipo mixta.;Metro: Moncloa (línea 6) y Ciudad Universitaria (línea 6);;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=70763b54d771c010VgnVCM1000000b205a0aRCRD;SENECA;AVENIDA;V;14;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;437936;4476288;404.349.249.042.721;-37.317.433.524.081.800;915 507 100;915 507 244;secretaria@cmjorgejuan.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6523;Colegio Mayor Juan Luis Vives;;;Tipo mixta.;Metro: Plaza de Castilla (líneas 1, 9 y 10).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=03863b54d771c010VgnVCM1000000b205a0aRCRD;FRANCISCO SUAREZ;CALLE;V;7;;;;;MADRID;MADRID;28036;5;NUEVA ESPAÑA;5;CHAMARTIN;441961;4479597;4.046.502.029.145.420;-36.845.899.986.944.400;914 979 900;;cmluisvives@uam.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6524;Colegio Mayor Juan XXIII Roncalli;;;Tipo femenina.;Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (línea 6), Ciudad Universitaria (línea 6);;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e808a4ea6871c010VgnVCM1000000b205a0aRCRD;RAMIRO DE MAEZTU;CALLE;V;3;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439111;4477845;4.044.903.948.047.640;-37.180.373.012.857.000;915 339 408;;direccion@roncalli.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6527;Colegio Mayor Loyola;;;Tipo mixta.;Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (líneas 6 y 7).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=95963b54d771c010VgnVCM1000000b205a0aRCRD;JUAN XXIII;PASEO;V;17;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439337;4477951;4.045.000.544.910.970;-37.153.887.868.377.800;915 340 404;915 352 205;secretaria@cmuloyola.org;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6528;Colegio Mayor Mara;;;Tipo femenina.;Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (líneas 6 y 7).;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=28a63b54d771c010VgnVCM1000000b205a0aRCRD;JUAN XXIII;PASEO;V;15;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439277;4477904;4.044.958.307.800.650;-37.160.919.870.624.100;915 536 604;;secretaria@colegiomayormara.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6529;Colegio Mayor Marqués de la Ensenada;;;Tipo mixta.;Consultar los siguientes enlaces:;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bab63b54d771c010VgnVCM1000000b205a0aRCRD;SENECA;AVENIDA;V;18;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;437783;4476235;4.043.444.043.139.220;-3.733.543.743.924.680;915 497 100;915 495 501;info@cmumarquesdelaensenada.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
11955027;Colegio Mayor Mater Salvatoris;;;Tipo femenina.;Consultar los siguientes enlaces:;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b3d29b0795c6810VgnVCM1000001d4a900aRCRD;VALDESQUI;CALLE;V;3;;;;;MADRID;MADRID;28023;5;VALDEMARIN;9;MONCLOA-ARAVACA;434629;4479548;4.046.404.258.469.890;-37.710.701.028.693.100;913 071 243;;madrid.cmu@matersalvatoris.org;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6530;Colegio Mayor Méndel;;;Tipo mixta.;Metro: Vicente Aleixandre (línea 6).;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4dc63b54d771c010VgnVCM1000000b205a0aRCRD;RECTOR ROYO-VILLANOVA;CALLE;V;6;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439226;4478055;40.450.938.406.912.800;-3.716.699.793.684.650;915 340 700;;director@cmmendel.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6531;Colegio Mayor Moncloa;;;Tipo masculina.;Metro: Guzmán el Bueno (línea 6 y 7), Vicente Aleixandre (línea 6);;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dfd63b54d771c010VgnVCM1000000b205a0aRCRD;MONCLOA;AVENIDA;V;3;;;;;MADRID;MADRID;28003;6;VALLEHERMOSO;7;CHAMBERI;439328;4477492;4.044.587.627.267.910;-3.715.446.297.968.530;915 338 500;;info@cmmoncloa.org;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6532;Colegio Mayor Montalbán;;;Tipo masculina.;Metro:  Núñez de Balboa (líneas 5 y 9).;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=62f63b54d771c010VgnVCM1000000b205a0aRCRD;DIEGO DE LEON;CALLE;V;14;;;;;MADRID;MADRID;28006;6;CASTELLANA;4;SALAMANCA;441972;4476247;40.434.842.602.381.100;-3.684.160.626.397.250;685 745 752 (información para pisos);;info@cmmontalban.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
11955131;Colegio Mayor Nuestra Señora de África;;;Tipo mixta.;Metro: Vicente Aleixandre (línea 6);;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=390029b0795c6810VgnVCM1000001d4a900aRCRD;RAMIRO DE MAEZTU;CALLE;V;2;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439191;4477869;4.044.925.799.673.550;-37.171.006.978.828.400;915 540 104;;info.africa@eoi.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6534;Colegio Mayor Nuestra Señora de Guadalupe;;;Tipo mixta.;Metro: Moncloa (líneas 3 y 6).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=36263b54d771c010VgnVCM1000000b205a0aRCRD;SENECA;AVENIDA;V;4;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438464;4476468;404.365.837.060.789;-37.255.298.689.626.700;915 435 200;;info.guadalupe@eoi.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
10298280;Colegio Mayor Pío XII;;;Tipo masculina.;Metro: Vicente Aleixandre (línea 6).;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b721beab56fa510VgnVCM2000001f4a900aRCRD;JUAN XXIII;PASEO;V;3;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438935;4477389;4.044.491.451.422.510;-37.200.680.644.720.500;915 141 711;;info@colegiomayorpioxii.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6538;Colegio Mayor Poveda;;;Tipo femenina.;Metro: Vicente Aleixandre (línea 6), Gúzman el Bueno (líneas 6 y 7).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1a273b54d771c010VgnVCM1000000b205a0aRCRD;ISAAC PERAL;CALLE;V;60;;;;;MADRID;MADRID;28040;6;VALLEHERMOSO;7;CHAMBERI;439022;4477171;40.442.963.646.266.800;-37.190.211.475.612.600;914 562 589;;secretaria@cmppoveda.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6545;Colegio Mayor Santa María de Europa;;;Tipo mixta.;Metro: Islas Filipinas (línea 7), Canal (líneas 2 y 7).;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e6873b54d771c010VgnVCM1000000b205a0aRCRD;CEA BERMUDEZ;CALLE;V;17;;;;;MADRID;MADRID;28003;2;ARAPILES;7;CHAMBERI;439858;4476690;40.438.685.506.832.600;-37.091.237.782.947.600;913 946 646;;ccmm@ucm.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6544;Colegio Mayor Santa María del Pino;;;Tipo femenina.;Metro: Islas Filipinas (línea 7);;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0ca73b54d771c010VgnVCM1000000b205a0aRCRD;SAN FRANCISCO DE SALES;PASEO;V;13;;;;;MADRID;MADRID;28003;6;VALLEHERMOSO;7;CHAMBERI;439255;4476886;4.044.040.601.048.900;-37.162.462.206.445.700;915 432 409;915 495 022;secretaria@colegiomayorpino.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6546;Colegio Mayor Santa Mónica;;;Tipo femenina.;Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (líneas 6 y 7).;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9eb73b54d771c010VgnVCM1000000b205a0aRCRD;JUAN XXIII;PASEO;V;19;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;439401;4477989;4.045.035.239.946.320;-37.146.291.167.019.000;915 333 001;;secretaria@cmumonica.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
46080;Colegio Mayor Santa Teresa de Jesús;;;Tipo mixta.;Consulta los siguientes enlaces:;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a147598d1351c010VgnVCM1000000b205a0aRCRD;SENECA;AVENIDA;V;12;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438037;4476320;4.043.522.158.947.950;-3.730.558.119.606.540;913 941 008;;;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6552;Colegio Mayor Somosierra;;;Tipo femenina.;Metro: Concha Espina (línea 9), Colombia (líneas 8 y 9).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=46f73b54d771c010VgnVCM1000000b205a0aRCRD;VICTOR DE LA SERNA;CALLE;V;13;;;;;MADRID;MADRID;28016;4;HISPANOAMERICA;5;CHAMARTIN;442967;4478297;4.045.338.463.229.640;-3.672.607.650.534.370;618 746 081;;cmsomosierra@cmsomosierra.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6519;Colegio Mayor Universitario Isabel de España;;;Tipo mixta.;Metro: Vicente Aleixandre (línea 6).;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b463b54d771c010VgnVCM1000000b205a0aRCRD;DON RAMON MENENDEZ PIDAL;CALLE;V;5;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438946;4477777;4.044.841.681.111.200;-37.199.730.138.128.700;915 336 104;;cmisabel@cmisabel.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6540;Colegio Mayor Universitario San Agustín;;;Tipo mixta.;Bus: U.;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3f473b54d771c010VgnVCM1000000b205a0aRCRD;ANTONIO NEBRIJA;TRAVESIA;V;4;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438288;4476484;4.043.672.037.843.150;-37.276.073.977.792.400;915 505 000;;colegio@cmusa.net;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6542;Colegio Mayor Universitario San Pablo;;;Tipo masculina.;Metro: Vicente Aleixandre (línea 6), Islas Filipinas (línea 7).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=54773b54d771c010VgnVCM1000000b205a0aRCRD;ISAAC PERAL;CALLE;V;58;;;;;MADRID;MADRID;28040;6;VALLEHERMOSO;7;CHAMBERI;439057;4477082;40.442.163.372.591.800;-37.186.016.905.372.700;915 989 600;915 340 528;colegiomayor@cmusp.com;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6549;Colegio Mayor Universitario Santillana;;;Tipo masculina.;Metro: Paco de lucía (línea 9)  Cercanías Renfe: Mirasierra-Paco de Lucia (líneas C3a, C7, C8 y Regional).;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=21d73b54d771c010VgnVCM1000000b205a0aRCRD;MARBELLA;CALLE;V;60;;;;;MADRID;MADRID;28034;7;MIRASIERRA;8;FUENCARRAL-EL PARDO;440155;4482901;4.049.465.964.836.940;-37.062.096.187.224.400;917 355 031;;cmsantillana@cmsantillana.org;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6553;Colegio Mayor Vedruna;;;Tipo femenina.;Metro: Guzmán El Bueno (línea 6 y 7), Vicente Aleixandre (línea 6).;;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7b18a4ea6871c010VgnVCM1000000b205a0aRCRD;PRESIDENTE GARCIA MORENO;GLORIETA;V;2;;;;;MADRID;MADRID;28003;6;VALLEHERMOSO;7;CHAMBERI;439366;4477462;40.445.605.369.642.500;-3.714.995.329.761.430;915 342 306 / 915 342 306;;recepcion@cmvedruna.org;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
6525;Colegio Mayor Ximénez de Cisneros;;;Tipo mixta.;Consulta los siguientes enlaces:;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0e28a4ea6871c010VgnVCM1000000b205a0aRCRD;SENECA;AVENIDA;V;8;;;;;MADRID;MADRID;28040;3;CIUDAD UNIVERSITARIA;9;MONCLOA-ARAVACA;438214;4476373;4.043.571.333.918.660;-37.284.677.239.467.500;913 941 006;;ccmm@ucm.es / subdir_cisneros@ucm.es;/contenido/entidadesYorganismos/Universidades/ColegiosMayores
